"","HEV07a","HEV10a","HEV11a","HEV12a","HEV13a","HEV14a","HEV15a","HEV16a","HEV17a","HEV18a","HEV20a","HEV21a","HEV22a","HEV23a","HEV24a","HEV25a","HEV26a","HEV27a","HEV29a","HEV07b","HEV10b","HEV11b","HEV12b","HEV13b","HEV14b","HEV15b","HEV16b","HEV17b","HEV18b","HEV20b","HEV21b","HEV22b","HEV23b","HEV24b","HEV25b","HEV26b","HEV27b","HEV29b","HEV07c","HEV10c","HEV11c","HEV12c","HEV13c","HEV14c","HEV15c","HEV16c","HEV17c","HEV18c","HEV20c","HEV21c","HEV22c","HEV23c","HEV24c","HEV25c","HEV26c","HEV27c","HEV29c","HEV07d","HEV10d","HEV11d","HEV12d","HEV13d","HEV14d","HEV15d","HEV16d","HEV17d","HEV18d","HEV20d","HEV21d","HEV22d","HEV23d","HEV24d","HEV25d","HEV26d","HEV27d","HEV29d"
"ASV_60",0,0,0,55,87,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,45,0,94,0,55,0,59,53,0,0,54,0,74,0,54,0,49,50,46,50,47,104,0,43,41,0,0,0,0,50,0,56,50,0,58,0,0,0,0,0,106,0,0,45,0,0,0,0,0,0,54,0,0,0,0
"ASV_62",0,0,0,0,0,0,0,0,0,0,0,0,0,0,225,174,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234,193,0,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243,184,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223,158,0,5,4
"ASV_64",0,42,0,32,0,0,17,0,12,18,6,95,0,14,27,30,30,0,4,0,40,0,31,0,0,18,0,13,21,13,84,0,18,39,36,34,0,3,0,53,0,18,1,0,19,0,17,16,7,107,0,16,31,32,42,0,3,0,37,0,12,1,0,18,0,11,12,10,87,0,6,28,24,23,0,1
"ASV_65",0,0,5,0,14,52,0,0,115,1,0,3,20,0,0,0,0,0,0,0,0,10,0,13,42,0,0,113,0,0,11,24,0,0,0,0,0,0,0,0,3,0,18,54,0,0,105,0,0,8,17,0,0,0,0,0,0,0,0,7,0,8,61,0,0,96,0,0,13,24,0,0,0,0,0,0
"ASV_71",0,0,0,0,512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,431,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_72",0,5,0,0,9,39,0,0,51,0,0,0,3,0,0,0,1,0,0,0,0,0,0,13,36,0,0,52,0,0,0,4,0,0,0,1,0,5,0,0,0,0,11,34,0,0,50,0,0,0,3,0,0,0,1,0,0,0,3,0,0,9,36,0,0,52,0,0,0,0,0,0,0,1,0,1
"ASV_75",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,72,62,75,60,0,0,67,68,58,75,53,62,0,62,66,67,61,72,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_77",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_80",0,0,0,0,0,0,0,0,1,29,36,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,30,39,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,34,41,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,22,43,0,0,0,0,0,0,20,0
"ASV_85",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,0,0,54,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,0
"ASV_90",0,0,0,63,10,22,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,123,0,14,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,88,8,25,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,13,0,0,29,0,0,0,0,0,0,0,0,0,0
