"","node_id","original_name","node_level","network_id","taxonomy_id","created_at","updated_at","taxonomy.id","taxonomy.name","taxonomy.ncbi","taxonomy.tsn","taxonomy.eol","taxonomy.bold","taxonomy.gbif","taxonomy.col","taxonomy.rank","taxonomy.created_at","taxonomy.updated_at","taxonomy"
"1",24405,"dung","taxon",1482,5814,"2019-03-05T16:32:02.831Z","2019-03-05T16:32:02.831Z",5814,"Symplocos cochinchinensis laurina",NA,15864,47146626,NA,NA,"2383685ae91d8c85ea9957b0cb1ca26e","infraspecies","2019-03-05T16:31:57.769Z","2019-06-14T15:27:03.429Z",NA
"2",24406,"Haematobia irritans","taxon",1482,5815,"2019-03-05T16:32:02.874Z","2019-03-05T16:32:02.874Z",5815,"Haematobia irritans",7368,150277,46805674,25325,1531912,"6c85df3b74bc14dcabecca3229f1e6a2","species","2019-03-05T16:31:57.849Z","2019-06-14T15:27:03.481Z",NA
"3",24407,"Sarcophaga spp.","taxon",1482,5816,"2019-03-05T16:32:02.948Z","2019-03-05T16:32:02.948Z",5816,"Sarcophaga",226134,151827,13651,2362,NA,"e8dd185f1302857c144e98172f8be56c","genus","2019-03-05T16:31:57.910Z","2019-06-14T15:27:03.537Z",NA
"4",24410,"Sepsis violacea","taxon",1482,855,"2019-03-05T16:32:03.100Z","2019-03-05T16:32:03.100Z",855,"Sepsis violacea",517494,NA,734450,164861,1675963,"c8832698fbbbe0b1a21001672f516af0","species","2019-02-21T21:17:54.546Z","2019-06-14T15:21:06.362Z",NA
"5",24411,"Leptocera sp.","taxon",1482,5571,"2019-03-05T16:32:03.134Z","2019-03-05T16:32:03.134Z",5571,"Leptocera",1614654,145872,4788838,237262,NA,"4d0e62810cf6e43e2c0a606a4d5a25db","genus","2019-03-01T18:22:30.423Z","2019-06-14T15:26:50.386Z",NA
"6",24413,"Aphodius fimetarius","taxon",1482,5820,"2019-03-05T16:32:03.226Z","2019-03-05T16:32:03.226Z",5820,"Aphodius fimetarius",207148,926796,140890,124855,1067409,"e486299dc349c87fec5d2f83cda2ca1e","species","2019-03-05T16:31:58.198Z","2019-06-14T15:27:03.593Z",NA
"7",24414,"Sphaeridium scarabaeoides","taxon",1482,5821,"2019-03-05T16:32:03.276Z","2019-03-05T16:32:03.276Z",5821,"Sphaeridium scarabaeoides",295564,112936,1173968,124859,1034329,"632a8c4f73aaf62f49e9e60f404fd891","species","2019-03-05T16:31:58.303Z","2019-06-14T15:27:03.646Z",NA
"8",24417,"Platystethus americanus","taxon",1482,5824,"2019-03-05T16:32:03.400Z","2019-03-05T16:32:03.400Z",5824,"Platystethus americanus",NA,186553,1002907,594536,4989609,"37bcfcec7ae4e26b0fe937fed0f3d03b","species","2019-03-05T16:31:58.551Z","2019-06-14T15:27:03.698Z",NA
"9",24418,"other staphylinids (unspec.)","taxon",1482,5573,"2019-03-05T16:32:03.434Z","2019-03-05T16:32:03.434Z",5573,"Staphylinidae",29026,113265,8620,831,NA,"67638acffae8f587c90c8c40dd684e60","family","2019-03-01T18:22:30.523Z","2019-06-14T15:26:50.493Z",NA
"10",24419,"Sphaeridium bipustulatum","taxon",1482,5825,"2019-03-05T16:32:03.465Z","2019-03-05T16:32:03.465Z",5825,"Sphaeridium bipustulatum",290649,112935,1174182,83769,1034330,"5df2d8c5cf876245da0bab1202b1981e","species","2019-03-05T16:31:58.601Z","2019-06-14T15:27:03.753Z",NA
"11",24420,"Hister abbreviatus","taxon",1482,5826,"2019-03-05T16:32:03.498Z","2019-03-05T16:32:03.498Z",5826,"Hister abbreviatus",NA,188414,1173539,489720,1044565,"fe253f015cc6167e1ac171967322a0ac","species","2019-03-05T16:31:58.663Z","2019-06-14T15:27:03.809Z",NA
"12",24408,"Paregle cinerella","taxon",1482,NA,"2019-03-05T16:32:03.012Z","2019-03-05T16:32:03.012Z",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",24409,"Cryptolucilia ceasarion","taxon",1482,NA,"2019-03-05T16:32:03.052Z","2019-03-05T16:32:03.052Z",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",24412,"Geosargus cuprarius","taxon",1482,NA,"2019-03-05T16:32:03.167Z","2019-03-05T16:32:03.167Z",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",24415,"Xyalophora quinquelineata","taxon",1482,NA,"2019-03-05T16:32:03.319Z","2019-03-05T16:32:03.319Z",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",24416,"Phaneropria sp.","taxon",1482,NA,"2019-03-05T16:32:03.364Z","2019-03-05T16:32:03.364Z",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
