"","interaction_id","node_from","node_to","date","direction","type","method","attr_id","value","geom","public","network_id","created_at","updated_at","attribute.id","attribute.name","attribute.description","attribute.unit","attribute.created_at","attribute.updated_at"
"21",100094,25085,25106,"1981-06-01T00:00:00.000Z","directed","detritivore","field observation/experiment",25,1,NA,TRUE,1499,"2019-03-06T19:21:44.853Z","2019-03-06T19:21:44.853Z",25,"presence/absence","Presence or absence of interaction",NA,"2019-03-01T16:03:38.993Z","2019-03-01T16:03:38.993Z"
"22",100095,25086,25106,"1981-06-01T00:00:00.000Z","directed","detritivore","field observation/experiment",25,1,NA,TRUE,1499,"2019-03-06T19:21:44.901Z","2019-03-06T19:21:44.901Z",25,"presence/absence","Presence or absence of interaction",NA,"2019-03-01T16:03:38.993Z","2019-03-01T16:03:38.993Z"
"23",100098,25089,25106,"1981-06-01T00:00:00.000Z","directed","detritivore","field observation/experiment",25,1,NA,TRUE,1499,"2019-03-06T19:21:45.019Z","2019-03-06T19:21:45.019Z",25,"presence/absence","Presence or absence of interaction",NA,"2019-03-01T16:03:38.993Z","2019-03-01T16:03:38.993Z"
"24",100096,25087,25106,"1981-06-01T00:00:00.000Z","directed","detritivore","field observation/experiment",25,1,NA,TRUE,1499,"2019-03-06T19:21:44.939Z","2019-03-06T19:21:44.939Z",25,"presence/absence","Presence or absence of interaction",NA,"2019-03-01T16:03:38.993Z","2019-03-01T16:03:38.993Z"
"25",100097,25088,25106,"1981-06-01T00:00:00.000Z","directed","detritivore","field observation/experiment",25,1,NA,TRUE,1499,"2019-03-06T19:21:44.980Z","2019-03-06T19:21:44.980Z",25,"presence/absence","Presence or absence of interaction",NA,"2019-03-01T16:03:38.993Z","2019-03-01T16:03:38.993Z"
"26",100108,25093,25106,"1981-06-01T00:00:00.000Z","directed","detritivore","field observation/experiment",25,1,NA,TRUE,1499,"2019-03-06T19:21:45.390Z","2019-03-06T19:21:45.390Z",25,"presence/absence","Presence or absence of interaction",NA,"2019-03-01T16:03:38.993Z","2019-03-01T16:03:38.993Z"
"27",100109,25094,25106,"1981-06-01T00:00:00.000Z","directed","detritivore","field observation/experiment",25,1,NA,TRUE,1499,"2019-03-06T19:21:45.423Z","2019-03-06T19:21:45.423Z",25,"presence/absence","Presence or absence of interaction",NA,"2019-03-01T16:03:38.993Z","2019-03-01T16:03:38.993Z"
"28",100110,25095,25106,"1981-06-01T00:00:00.000Z","directed","detritivore","field observation/experiment",25,1,NA,TRUE,1499,"2019-03-06T19:21:45.457Z","2019-03-06T19:21:45.457Z",25,"presence/absence","Presence or absence of interaction",NA,"2019-03-01T16:03:38.993Z","2019-03-01T16:03:38.993Z"
"29",100111,25096,25106,"1981-06-01T00:00:00.000Z","directed","detritivore","field observation/experiment",25,1,NA,TRUE,1499,"2019-03-06T19:21:45.515Z","2019-03-06T19:21:45.515Z",25,"presence/absence","Presence or absence of interaction",NA,"2019-03-01T16:03:38.993Z","2019-03-01T16:03:38.993Z"
"30",100112,25097,25106,"1981-06-01T00:00:00.000Z","directed","detritivore","field observation/experiment",25,1,NA,TRUE,1499,"2019-03-06T19:21:45.545Z","2019-03-06T19:21:45.545Z",25,"presence/absence","Presence or absence of interaction",NA,"2019-03-01T16:03:38.993Z","2019-03-01T16:03:38.993Z"
"31",100113,25098,25106,"1981-06-01T00:00:00.000Z","directed","detritivore","field observation/experiment",25,1,NA,TRUE,1499,"2019-03-06T19:21:45.578Z","2019-03-06T19:21:45.578Z",25,"presence/absence","Presence or absence of interaction",NA,"2019-03-01T16:03:38.993Z","2019-03-01T16:03:38.993Z"
"32",100114,25099,25106,"1981-06-01T00:00:00.000Z","directed","detritivore","field observation/experiment",25,1,NA,TRUE,1499,"2019-03-06T19:21:45.610Z","2019-03-06T19:21:45.610Z",25,"presence/absence","Presence or absence of interaction",NA,"2019-03-01T16:03:38.993Z","2019-03-01T16:03:38.993Z"
"33",100115,25100,25106,"1981-06-01T00:00:00.000Z","directed","detritivore","field observation/experiment",25,1,NA,TRUE,1499,"2019-03-06T19:21:45.641Z","2019-03-06T19:21:45.641Z",25,"presence/absence","Presence or absence of interaction",NA,"2019-03-01T16:03:38.993Z","2019-03-01T16:03:38.993Z"
"34",100122,25103,25106,"1981-06-01T00:00:00.000Z","directed","detritivore","field observation/experiment",25,1,NA,TRUE,1499,"2019-03-06T19:21:45.895Z","2019-03-06T19:21:45.895Z",25,"presence/absence","Presence or absence of interaction",NA,"2019-03-01T16:03:38.993Z","2019-03-01T16:03:38.993Z"
"35",100123,25104,25106,"1981-06-01T00:00:00.000Z","directed","detritivore","field observation/experiment",25,1,NA,TRUE,1499,"2019-03-06T19:21:45.946Z","2019-03-06T19:21:45.946Z",25,"presence/absence","Presence or absence of interaction",NA,"2019-03-01T16:03:38.993Z","2019-03-01T16:03:38.993Z"
"36",100124,25105,25106,"1981-06-01T00:00:00.000Z","directed","detritivore","field observation/experiment",25,1,NA,TRUE,1499,"2019-03-06T19:21:45.974Z","2019-03-06T19:21:45.974Z",25,"presence/absence","Presence or absence of interaction",NA,"2019-03-01T16:03:38.993Z","2019-03-01T16:03:38.993Z"
"37",100099,25090,25103,"1981-06-01T00:00:00.000Z","directed","predation","field observation/experiment",25,1,NA,TRUE,1499,"2019-03-06T19:21:45.065Z","2019-03-06T19:21:45.065Z",25,"presence/absence","Presence or absence of interaction",NA,"2019-03-01T16:03:38.993Z","2019-03-01T16:03:38.993Z"
