#OTU ID	EUB30	EUB31	EUB32	EUB34	EUB35	EUB36	HEV001	HEV002	HEV003	HEV004	HEV005	HEV007a	HEV007b	HEV007c	HEV007d	HEV010a	HEV010b	HEV010c	HEV088d	HEV089a	HEV089d	HEV090	HEV091	HEV092	HEV093	HEV094	HEV095	HEV096	HEV097
Zotu16	80369	47414	22	2	15	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	9	0	0	0
Zotu31	5	0	0	1	0	13	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Zotu110	539	381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu72	493	404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu103	343	272	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu518	71	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu314	137	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu373	141	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu2	59	39	106	27	115	184	0	0	0	0	0	0	3	0	0	0	72	0	0	34	20	0	0	0	215	0	0	0	0
Zotu32	82	124	429	157	579	498	0	12	36	0	0	19	123	48	8	70	600	336	4	1069	447	0	0	0	0	0	0	0	0
Zotu8	36	35	92391	69803	61043	68599	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	540	0
Zotu982	18	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu808	5	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu24	3	7	10	0	3	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu453	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu14	6	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Zotu1020	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu332	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu15	2	0	1241	1123	691	1152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0
Zotu1152	9	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1	5	4	2	1	0	1	49704	26392	51022	41393	32352	26871	24777	12888	24502	22275	21072	17023	43198	37373	30327	53053	121258	31300	63229	79510	68224	75261	73361
Zotu974	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu140	1	0	10	504	297	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu403	2	3	1	0	0	0	99598	70865	64885	74137	111349	63645	52076	29095	55075	41754	35500	29847	77180	67947	51973	149698	87763	51228	129235	176053	135522	161509	148613
Zotu63	0	2	0	0	0	0	936	0	1239	201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1077	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu25	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu104	0	1	576	284	374	744	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0
Zotu55	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu9	0	2	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	47	0	0	0	0	0	0	0
Zotu1000	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu82	0	1	237	216	301	1446	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu180	0	0	243	50	242	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu205	0	0	455	58	516	1447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu212	0	0	62	41	48	183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu114	0	0	233	30	269	947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu354	0	0	108	55	87	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu148	0	0	85	51	50	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Zotu536	0	0	92	62	71	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
