#OTU ID	CEN01	CEN02	CEN03	CEN04	CEN06	CEN07	CEN08	CEN09	CEN10	CEN11	CEN12	CEN13	CEN14	CEN15	CEN16	CEN17	CL1a	CL1b	CL1c	CL1d	CL4a	CL4b	CL4c	CL4d	HEV079a	HEV079d	HEV081a	HEV081d	HEV082a	HEV082d
Zotu145	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu820	0	3	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu332	0	5	0	7	0	7	1	4	7	3	0	0	0	3	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu467	0	1	0	2	0	0	0	1	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu55	0	1	1	8	0	18	2	5	9	1	2	2	0	14	6	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu626	0	3	0	7	0	7	0	0	5	1	2	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu27	0	1	0	2	0	0	0	0	0	176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu35	0	2	0	10	0	18	2	11	27	6	3	1	2	14	10	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu37	0	9	1	13	1	24	3	11	15	11	3	0	1	16	7	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu140	0	2	0	9	0	0	0	1	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu88	0	2	0	2	0	4	0	0	1	1	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu28	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Zotu1	0	4	4	0	0	7	0	1	14	4	9	5	1	0	0	3	0	0	0	0	0	0	0	0	34958	29440	21702	17174	17896	13956
Zotu81	0	1	0	2	0	5	1	1	1	2	0	0	0	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu79	0	1	0	5	0	8	0	3	8	3	1	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu25	0	5	0	5	1	8	1	9	5	0	0	1	0	2	9	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1033	0	2	0	4	0	5	1	0	11	1	2	1	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu52	0	2	0	9	1	26	0	2	7	3	3	1	0	9	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu107	0	1	0	0	1	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu36	0	1	0	1	1	0	0	0	0	1	0	0	0	0	0	245	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu172	0	2	11	80	0	95	3	34	88	23	3	0	6	39	13	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu366	0	1	0	3	0	1	1	1	3	1	1	0	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu589	0	2	0	5	0	3	0	0	6	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu108	0	0	2	0	0	0	2079	0	0	1	1168	2	0	850	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu922	0	0	1	0	0	0	0	0	0	0	0	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu336	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu59	0	0	1	1	0	0	1957	0	0	1	944	0	933	663	116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu804	0	0	5	2	0	1	0	3	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu97	0	0	1	3	0	5	1	1	6	0	0	0	0	5	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu652	0	0	0	10	0	6	0	0	4	7	4	0	0	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
