#OTU ID	ISO16	ISO17	ISO18	ISO19	ISO20	ISO21	ISO22	ISO23	ISO24	ISO25	ISO26	ISO27	ISO30	ISO31	ISO32	ISO33	ISO34	ISO35	ISO36	ISO37	LRS2	LRS3	LRS5	LRS6	LRS7	LRS8	NEG2b	NEGa	NEGb	NEGc	NEGd	NEO01	NEO02	NEO03	NEO04	NEO05	NEO06	NEO07	NEO08	NEO09	NEO10	NEO11	NEO12	NEO13	NEO14	NEO15	NEO16	NEO17	NEO18	NEO19	NEO20	NEO21	NEO22	NEO23	NEO24	NEO25	NEO26	PAN01	PAN02	PAN03	PAN04	PAN05	PAN06	PAN07	PAN08
Zotu109	0	1	0	0	0	0	0	0	0	0	1284	59	0	0	0	0	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu574	0	1	1	3	42	0	0	0	0	0	5	0	3	5	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu904	0	1	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu757	0	0	5	0	3	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1195	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu345	0	0	3	0	0	121	0	0	0	20	0	0	0	0	0	0	4	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu765	0	0	1	0	4	0	0	4	0	0	0	0	2	10	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu448	0	0	3	0	0	16	0	2	0	0	0	0	0	0	0	69	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1012	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu777	0	0	3	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1503	698	1217	0	2207	2092	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
