#OTU ID	PAN09	PAN10	PAN11	PAN12	PAN13	PAN14	PAN15	PHH004	PHH005	PHH006	PHH007	PHH008	PHH009	PHH010	PHH016	PHH020	PHH021	PHH022	PHH023	PHH024	PHH025	PHH030	PHH032	PHH034	PHH035	PHH038	PHH039	PHH040	PHH041	PHH042
Zotu418	0	0	0	0	0	0	0	72	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu85	0	0	0	0	0	0	0	95	85	38	51	25	80	35	40	35	42	34	25	27	63	1	57	44	17	85	9	61	14	56
Zotu79	0	0	0	0	0	0	0	196	164	95	84	85	159	51	95	67	104	77	72	86	144	14	95	102	44	152	19	143	26	95
Zotu263	0	0	0	0	0	0	0	77	54	47	17	17	81	12	67	42	49	17	62	44	34	6	46	12	28	38	9	24	6	35
Zotu589	0	0	0	0	0	0	0	3	10	0	0	3	3	0	0	12	0	0	6	0	0	0	40	0	0	0	0	0	0	0
Zotu171	0	0	0	0	0	0	0	44	39	18	17	13	48	27	6	29	2	25	48	0	44	0	15	7	3	14	0	26	0	17
Zotu145	0	0	0	0	0	0	0	66	91	19	27	16	22	25	13	8	24	10	15	2	29	1	32	36	41	22	15	23	4	43
Zotu284	0	0	0	0	0	0	0	14	19	3	6	4	14	8	1	12	0	6	25	0	16	0	5	5	0	6	0	13	0	5
Zotu1123	0	0	0	0	0	0	0	112	127	74	44	31	91	26	72	46	61	29	77	54	58	4	65	49	54	59	19	48	13	64
Zotu135	0	0	0	0	0	0	0	18	25	9	25	10	8	0	1	42	7	5	38	0	11	0	6	32	17	6	1	6	0	35
Zotu310	0	0	0	0	0	0	0	25	68	11	10	4	7	1	0	52	0	22	5	4	17	1	16	2	0	0	0	5	0	0
Zotu143	0	0	0	0	0	0	0	26	14	25	13	17	23	41	2	2	12	0	21	2	8	9	0	3	0	12	0	15	20	11
Zotu907	0	0	0	0	0	0	0	7	7	0	1	2	3	2	0	0	0	0	2	0	2	0	1	0	0	0	0	2	0	0
Zotu495	0	0	0	0	0	0	0	11	6	3	1	0	0	0	0	0	0	0	7	0	0	0	0	0	0	1	0	0	0	0
Zotu644	0	0	0	0	0	0	0	14	9	15	4	0	20	0	18	9	11	2	7	19	3	1	7	1	4	5	2	3	0	1
Zotu1000	0	0	0	0	0	0	0	92	45	0	40	14	32	37	29	33	46	12	42	38	62	2	28	26	22	50	14	57	7	9
Zotu533	0	0	0	0	0	0	0	12	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Zotu544	0	0	0	0	0	0	0	56	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu65	0	0	0	0	0	0	0	24	31	14	13	11	35	22	18	8	9	25	8	7	28	0	10	11	1	19	1	32	3	11
Zotu801	0	0	0	0	0	0	0	9	0	0	13	0	2	0	0	1	0	0	0	0	10	0	0	1	0	0	0	0	0	0
Zotu413	0	0	0	0	0	0	0	23	13	12	12	10	18	10	4	22	3	10	18	0	26	0	14	12	4	10	2	22	0	14
Zotu297	0	0	0	0	0	0	0	3	1	1	3	0	1	0	0	0	0	0	0	0	2	0	0	16	1	1	0	7	0	26
Zotu878	0	0	0	0	0	0	0	7	5	10	0	4	5	3	2	4	1	4	6	1	5	2	7	1	4	4	2	2	0	3
Zotu313	0	0	0	0	0	0	0	15	17	12	11	10	18	12	15	16	15	12	12	10	13	14	14	4	1	22	3	15	3	3
Zotu682	0	0	0	0	0	0	0	10	1	5	1	5	1	6	0	1	1	0	3	0	13	0	3	9	1	0	0	3	0	0
Zotu370	0	0	0	0	0	0	0	5	29	16	8	5	5	1	7	11	24	0	9	2	8	0	0	26	1	2	1	3	0	15
Zotu379	0	0	0	0	0	0	0	7	7	3	4	3	4	5	0	2	3	0	1	3	2	0	5	1	4	5	0	4	0	3
Zotu970	0	0	0	0	0	0	0	3	0	0	0	10	0	0	4	0	10	0	1	0	1	0	0	4	0	0	0	0	0	0
Zotu868	0	0	0	0	0	0	0	2	6	3	0	0	0	4	0	0	1	0	0	0	2	0	2	0	0	0	0	0	0	0
Zotu915	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu531	0	0	0	0	0	0	0	6	5	7	2	1	10	0	8	1	4	0	11	10	1	0	0	2	0	1	0	6	0	2
Zotu329	0	0	0	0	0	0	0	10	8	6	7	3	8	3	4	9	3	3	3	1	11	0	5	5	0	0	0	7	0	3
Zotu626	0	0	0	0	0	0	0	16	15	8	10	2	4	9	4	24	15	9	17	15	13	22	6	5	4	29	10	17	10	3
Zotu246	0	0	0	0	0	0	0	12	29	4	4	2	5	6	0	3	2	0	3	0	33	0	2	0	0	3	0	0	0	2
Zotu58	0	0	0	0	0	0	0	3	6	4	1	1	18	7	1	3	12	2	4	2	2	0	8	0	2	6	1	4	0	4
Zotu510	0	0	0	0	0	0	0	18	15	4	4	0	10	0	5	10	12	3	9	11	9	2	14	9	2	9	2	5	4	6
Zotu1181	0	0	0	0	0	0	0	4	0	0	0	9	0	0	15	0	8	0	1	0	3	0	0	10	0	5	0	0	0	0
Zotu309	0	0	0	0	0	0	0	6	20	0	1	0	3	0	0	0	3	0	1	0	1	0	0	0	0	2	0	0	0	0
Zotu880	0	0	0	0	0	0	0	11	12	6	9	4	3	6	1	9	5	6	8	0	8	2	19	2	1	7	0	5	1	7
Zotu438	0	0	0	0	0	0	0	17	0	0	0	6	0	0	3	1	4	0	10	0	10	0	0	0	0	15	0	0	1	0
Zotu803	0	0	0	0	0	0	0	5	1	0	0	0	2	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0
Zotu332	0	0	0	0	0	0	0	10	12	8	3	7	4	1	5	2	3	0	4	14	6	3	4	4	3	10	1	15	4	5
Zotu493	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu879	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu125	0	0	0	0	0	0	0	1	0	0	0	0	0	0	28	0	0	1	0	0	7	0	0	0	37	0	3	0	10	0
Zotu124	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0
Zotu784	0	0	0	0	0	0	0	5	3	0	0	3	0	0	0	4	0	0	4	0	1	0	2	0	0	2	0	0	0	0
Zotu951	0	0	0	0	0	0	0	1	7	0	0	0	2	4	1	0	0	1	1	0	2	0	7	0	0	0	0	0	0	0
Zotu581	0	0	0	0	0	0	0	1	5	1	4	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
Zotu724	0	0	0	0	0	0	0	1	3	21	0	0	1	1	0	0	0	0	0	0	5	0	2	0	0	0	0	0	0	0
Zotu579	0	0	0	0	0	0	0	3	0	0	1	17	0	0	16	0	23	0	0	0	1	0	0	25	0	0	0	0	1	0
Zotu1162	0	0	0	0	0	0	0	6	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu504	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu12	0	0	0	0	0	0	0	1	3	0	5	0	0	0	2	1	1	0	2	0	1	0	0	2	3	1	0	1	0	1
Zotu919	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
Zotu467	0	0	0	0	0	0	0	3	26	0	13	0	0	8	0	0	0	6	0	0	4	0	5	0	0	0	0	1	0	0
Zotu503	0	0	0	0	0	0	0	1	0	0	9	1	2	0	0	1	0	0	0	0	10	7	1	0	0	0	0	0	0	0
Zotu786	0	0	0	0	0	0	0	2	0	0	0	0	0	0	7	0	3	5	2	0	0	0	0	0	0	0	0	4	1	0
Zotu967	0	0	0	0	0	0	0	1	0	0	0	5	0	0	2	2	4	0	2	0	3	0	0	2	0	2	0	0	0	0
