#OTU ID	HEV018a	HEV018b	HEV018c	HEV018d	HEV020a	HEV020b	HEV020c	HEV020d	HEV021a	HEV021b	HEV021c	HEV021d	HEV022a	HEV022b	HEV022c	HEV022d	HEV023a	HEV023b	HEV023c	HEV023d	HEV024a	HEV024b	HEV024c	HEV024d	HEV025a	HEV025b	HEV025c	HEV025d	HEV026a	HEV026b	HEV026c	HEV026d
Zotu39	4	3	1	2	0	0	0	0	40	36	24	47	141	158	76	105	7	4	8	7	17	14	16	4	4	17	7	2	58	43	38	34
Zotu7	2	0	0	0	1	0	0	0	1	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	10	0	0	0
Zotu38	2	3	2	2	2	1	6	1	0	0	0	0	315	289	206	267	1	2	0	0	0	1	0	0	0	0	0	1	248	182	158	180
Zotu1099	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu50	1	0	0	0	2	0	0	0	0	0	0	1	185	136	107	140	4	0	1	1	0	0	0	1	2	0	0	1	1	1	0	0
Zotu131	1	1	0	0	0	0	0	0	5	2	1	1	6	6	4	6	2	2	2	4	2	0	1	0	0	3	2	1	7	3	3	3
Zotu493	1	4	0	1	0	0	0	0	3	3	3	4	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0
Zotu2	0	10	0	0	0	10	0	0	0	4	0	0	0	1	0	0	0	4	0	0	0	60	0	0	0	54	0	0	0	97	0	0
Zotu22	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	23	18	8	0	0	0	0	0	0	0	0
Zotu239	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Zotu195	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu9	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	2	0	0	0	5	0
Zotu16	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Zotu139	0	0	0	0	248	180	211	187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu125	0	0	0	0	96	85	69	76	0	0	1	0	0	0	0	0	0	0	0	0	104	77	66	74	0	0	0	0	0	0	0	0
Zotu861	0	0	0	0	2	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu699	0	0	0	0	12	10	15	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu895	0	0	0	0	1	6	8	9	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	1
Zotu456	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Zotu12	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0
Zotu152	0	0	0	0	0	0	1	0	28	43	24	47	17	26	15	13	7	5	3	3	149	122	89	91	0	0	0	0	0	0	0	0
Zotu1095	0	0	0	0	0	0	2	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu8	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Zotu165	0	0	0	0	0	0	0	0	139	105	96	115	24	13	17	17	0	0	0	0	0	0	0	0	0	0	0	0	8	7	3	5
Zotu127	0	0	0	0	0	0	0	0	481	449	314	185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu554	0	0	0	0	0	0	0	0	38	30	23	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu144	0	0	0	0	0	0	0	0	7	6	3	4	0	0	0	0	0	0	0	0	0	0	0	0	16	16	14	12	0	0	0	0
Zotu928	0	0	0	0	0	0	0	0	2	5	7	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu20	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Zotu54	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu610	0	0	0	0	0	0	0	0	0	0	0	0	15	15	4	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu226	0	0	0	0	0	0	0	0	0	0	0	0	75	83	58	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
