#OTU ID	HEV099	HEV100	HEV101	HEV102	HEV103	HEV104	HEV105	HEV106	HEV107	HEV108	HEV109	HEV110	HEV111	ISO01	ISO02	ISO04	ISO05	ISO06	ISO07	ISO08	ISO09	ISO10	ISO11	ISO12	ISO13	ISO14	ISO15
Zotu99	0	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu87	0	0	0	0	0	0	72	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu2	0	0	0	0	0	0	92	0	0	0	0	0	0	44	123	692	32	37	50	52	28	0	0	51	81	11	19
Zotu140	0	0	0	0	0	0	11	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu190	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu934	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu993	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1131	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu245	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1199	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu732	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu528	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1202	0	0	0	0	0	0	0	0	2	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu781	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu958	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu546	0	0	0	0	0	0	0	0	1	0	241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu372	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu791	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu684	0	0	0	0	0	0	0	0	0	47	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu409	0	0	0	0	0	0	0	0	0	110	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Zotu1196	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
