#OTU ID	HEV010d	HEV011a	HEV011b	HEV011c	HEV011d	HEV012a	HEV012b	HEV012c	HEV012d	HEV013a	HEV013b	HEV013c	HEV013d	HEV014a	HEV014b	HEV014c	HEV014d	HEV015a	HEV015b	HEV015c	HEV015d	HEV016a	HEV016b	HEV016c	HEV016d	HEV017a	HEV017b	HEV017c	HEV017d	HEV098
Zotu304	0	0	0	0	0	98	96	69	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1087	0	0	0	0	0	9	3	6	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu302	0	0	0	0	0	14	10	10	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu650	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Zotu294	0	0	0	0	0	66	65	43	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu69	0	0	0	0	0	33	10	14	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu621	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	19	7	12	0
Zotu229	0	0	0	0	0	26	25	23	35	0	0	0	0	56	37	30	47	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu742	0	0	0	0	0	3	4	2	6	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu756	0	0	0	0	0	6	7	11	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1200	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu411	0	0	0	0	0	6	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	20	13	24	0
Zotu211	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu282	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1038	0	0	0	0	0	5	13	9	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu475	0	0	0	0	0	6	2	1	4	1	1	0	2	3	1	1	5	0	0	0	0	0	0	0	0	2	1	1	2	0
Zotu57	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu191	0	0	0	0	0	0	4	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu484	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu456	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0
Zotu1202	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu927	0	0	0	0	0	0	0	0	0	9	8	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu979	0	0	0	0	0	0	0	0	0	4	2	4	3	0	0	0	1	0	0	0	0	0	0	0	0	9	4	5	7	0
Zotu550	0	0	0	0	0	0	0	0	0	12	16	8	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1062	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0
Zotu125	0	0	0	0	0	0	0	0	0	8	9	7	11	16	12	4	9	0	0	0	0	228	235	172	219	3	2	0	2	0
Zotu29	0	0	0	0	0	0	0	0	0	0	0	0	0	1173	769	473	915	1	0	0	0	0	0	0	0	0	0	0	0	3
Zotu352	0	0	0	0	0	0	0	0	0	0	0	0	0	36	19	19	48	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu337	0	0	0	0	0	0	0	0	0	0	0	0	0	47	30	16	35	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu165	0	0	0	0	0	0	0	0	0	0	0	0	0	33	22	14	30	0	0	0	0	53	48	39	44	0	0	0	0	0
Zotu7	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
Zotu1039	0	0	0	0	0	0	0	0	0	0	0	0	0	5	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu410	0	0	0	0	0	0	0	0	0	0	0	0	0	7	2	1	6	0	0	0	0	0	0	0	0	0	0	0	0	76
Zotu860	0	0	0	0	0	0	0	0	0	0	0	0	0	10	16	18	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu595	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu895	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	5	0	2	4	0	0	0	0	0	0	0	0	0
Zotu239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	2	3	2	1
Zotu201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	2
Zotu144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	222	208	176	155	0	0	0	0	1	1	0	1	0
Zotu779	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	27	10	29	0	0	0	0	0	0	0	0	0
Zotu612	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	15	10	15	0	0	0	0	0	0	0	0	0
