"","ASV","unique_ID","Domain","Phylum","Class","Order","Family","Genus","Species","Class_bold","Order_bold","Family_bold","Genus_bold","Species_bold","ID_bold","ID_level_bold","ID_level"
"592","ASV_541","Sparassidae","d__Eukaryota","p__Arthropoda","c__Arachnida","o__Araneae","f__Sparassidae","","","Arachnida","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria","Heteropoda venatoria","Species","Family"
"593","ASV_573","Sparassidae","d__Eukaryota","p__Arthropoda","c__Arachnida","o__Araneae","f__Sparassidae","","","Arachnida","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria","Heteropoda venatoria","Species","Family"
"594","ASV_579","Sparassidae","d__Eukaryota","p__Arthropoda","c__Arachnida","o__Araneae","f__Sparassidae","","","Arachnida","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria","Heteropoda venatoria","Species","Family"
"595","ASV_587","Sparassidae","d__Eukaryota","p__Arthropoda","c__Arachnida","o__Araneae","f__Sparassidae","","","Arachnida","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria","Heteropoda venatoria","Species","Family"
"596","ASV_724","Sparassidae","d__Eukaryota","p__Arthropoda","c__Arachnida","o__Araneae","f__Sparassidae","","","Arachnida","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria","Heteropoda venatoria","Species","Family"
"597","ASV_736","Sparassidae","d__Eukaryota","p__Arthropoda","c__Arachnida","o__Araneae","f__Sparassidae","","","Arachnida","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria","Heteropoda venatoria","Species","Family"
"598","ASV_767","Sparassidae","d__Eukaryota","p__Arthropoda","c__Arachnida","o__Araneae","f__Sparassidae","","","Arachnida","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria","Heteropoda venatoria","Species","Family"
"599","ASV_777","Sparassidae","d__Eukaryota","p__Arthropoda","c__Arachnida","o__Araneae","f__Sparassidae","","","Arachnida","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria","Heteropoda venatoria","Species","Family"
"600","ASV_788","Sparassidae","d__Eukaryota","p__Arthropoda","c__Arachnida","o__Araneae","f__Sparassidae","","","Arachnida","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria","Heteropoda venatoria","Species","Family"
"601","ASV_809","Sparassidae","d__Eukaryota","p__Arthropoda","c__Arachnida","o__Araneae","f__Sparassidae","","","Arachnida","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria","Heteropoda venatoria","Species","Family"
"602","ASV_822","Sparassidae","d__Eukaryota","p__Arthropoda","c__Arachnida","o__Araneae","f__Sparassidae","","","Arachnida","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria","Heteropoda venatoria","Species","Family"
"603","ASV_844","Sparassidae","d__Eukaryota","p__Arthropoda","c__Arachnida","o__Araneae","f__Sparassidae","","","Arachnida","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria","Heteropoda venatoria","Species","Family"
"604","ASV_1035","Sparassidae","d__Eukaryota","p__Arthropoda","c__Arachnida","o__Araneae","f__Sparassidae","","","Arachnida","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria","Heteropoda venatoria","Species","Family"
"605","ASV_1083","Sparassidae","d__Eukaryota","p__Arthropoda","c__Arachnida","o__Araneae","f__Sparassidae","","","Arachnida","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria","Heteropoda venatoria","Species","Family"
"606","ASV_1086","Sparassidae","d__Eukaryota","p__Arthropoda","c__Arachnida","o__Araneae","f__Sparassidae","","","Arachnida","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria","Heteropoda venatoria","Species","Family"
"607","ASV_1194","Sparassidae","d__Eukaryota","p__Arthropoda","c__Arachnida","o__Araneae","f__Sparassidae","","","Arachnida","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria","Heteropoda venatoria","Species","Family"
"608","ASV_1202","Sparassidae","d__Eukaryota","p__Arthropoda","c__Arachnida","o__Araneae","f__Sparassidae","","","Arachnida","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria","Heteropoda venatoria","Species","Family"
"609","ASV_1237","Sparassidae","d__Eukaryota","p__Arthropoda","c__Arachnida","o__Araneae","f__Sparassidae","","","Arachnida","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria","Heteropoda venatoria","Species","Family"
"610","ASV_1297","Sparassidae","d__Eukaryota","p__Arthropoda","c__Arachnida","o__Araneae","f__Sparassidae","","","Arachnida","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria","Heteropoda venatoria","Species","Family"
"611","ASV_1326","Sparassidae","d__Eukaryota","p__Arthropoda","c__Arachnida","o__Araneae","f__Sparassidae","","","Arachnida","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria","Heteropoda venatoria","Species","Family"
"612","ASV_1331","Sparassidae","d__Eukaryota","p__Arthropoda","c__Arachnida","o__Araneae","f__Sparassidae","","","Arachnida","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria","Heteropoda venatoria","Species","Family"
"613","ASV_1418","Sparassidae","d__Eukaryota","p__Arthropoda","c__Arachnida","o__Araneae","f__Sparassidae","","","Arachnida","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria","Heteropoda venatoria","Species","Family"
"614","ASV_1524","Sparassidae","d__Eukaryota","p__Arthropoda","c__Arachnida","o__Araneae","f__Sparassidae","","","Arachnida","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria","Heteropoda venatoria","Species","Family"
"615","ASV_1526","Sparassidae","d__Eukaryota","p__Arthropoda","c__Arachnida","o__Araneae","f__Sparassidae","","","Arachnida","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria","Heteropoda venatoria","Species","Family"
"616","ASV_1529","Sparassidae","d__Eukaryota","p__Arthropoda","c__Arachnida","o__Araneae","f__Sparassidae","","","Arachnida","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria","Heteropoda venatoria","Species","Family"
"617","ASV_1581","Sparassidae","d__Eukaryota","p__Arthropoda","c__Arachnida","o__Araneae","f__Sparassidae","","","Arachnida","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria","Heteropoda venatoria","Species","Family"
"618","ASV_1633","Sparassidae","d__Eukaryota","p__Arthropoda","c__Arachnida","o__Araneae","f__Sparassidae","","","Arachnida","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria","Heteropoda venatoria","Species","Family"
"619","ASV_1638","Sparassidae","d__Eukaryota","p__Arthropoda","c__Arachnida","o__Araneae","f__Sparassidae","","","Arachnida","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria","Heteropoda venatoria","Species","Family"
"620","ASV_1642","Sparassidae","d__Eukaryota","p__Arthropoda","c__Arachnida","o__Araneae","f__Sparassidae","","","Arachnida","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria","Heteropoda venatoria","Species","Family"
"621","ASV_1648","Sparassidae","d__Eukaryota","p__Arthropoda","c__Arachnida","o__Araneae","f__Sparassidae","","","Arachnida","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria","Heteropoda venatoria","Species","Family"
"622","ASV_507","Arthropoda","d__Eukaryota","p__Arthropoda","Malacostraca","Isopoda","","","","Malacostraca","Isopoda","","","","Isopoda","Order","Order"
"623","ASV_903","Arthropoda","d__Eukaryota","p__Arthropoda","Insecta","Hymenoptera","","","","Insecta","Hymenoptera","","","","Hymenoptera","Order","Order"
"624","ASV_676","Arthropoda","d__Eukaryota","p__Arthropoda","Entognatha","Entomobryomorpha","","","","Entognatha","Entomobryomorpha","","","","Entomobryomorpha","Order","Order"
"625","ASV_96","Homidia","d__Eukaryota","p__Arthropoda","c__Collembola","o__Entomobryomorpha","f__Entomobryidae","g__Homidia","","Entognatha","Entomobryomorpha","","","","Entomobryomorpha","Order","Genus"
"626","ASV_1609","Homidia","d__Eukaryota","p__Arthropoda","c__Collembola","o__Entomobryomorpha","f__Entomobryidae","g__Homidia","","Entognatha","Entomobryomorpha","","","","Entomobryomorpha","Order","Genus"
"627","ASV_100","Isotomidae sp. DPCOL102537","d__Eukaryota","p__Arthropoda","c__Collembola","o__Entomobryomorpha","f__Isotomidae","","s__Isotomidae sp. DPCOL102537","Entognatha","Entomobryomorpha","","","","Entomobryomorpha","Order","Species"
"628","ASV_1497","Isotomidae sp. DPCOL102537","d__Eukaryota","p__Arthropoda","c__Collembola","o__Entomobryomorpha","f__Isotomidae","","s__Isotomidae sp. DPCOL102537","Entognatha","","Isotomidae","","","IsotomidaeGEN sp. DPCOL102537","Family","Species"
"629","ASV_1598","Sminthuridae sp. DPCOL44194","d__Eukaryota","p__Arthropoda","c__Collembola","o__Symphypleona","f__Sminthuridae","","s__Sminthuridae sp. DPCOL44194","Entognatha","Symphypleona","","","","Symphypleona","Order","Species"
"630","ASV_4","Insecta","d__Eukaryota","p__Arthropoda","c__Insecta","Dermaptera","","","","Insecta","Dermaptera","","","","Dermaptera","Order","Order"
"631","ASV_18","Insecta","d__Eukaryota","p__Arthropoda","c__Insecta","Dermaptera","","","","Insecta","Dermaptera","","","","Dermaptera","Order","Order"
"632","ASV_50","Insecta","d__Eukaryota","p__Arthropoda","c__Insecta","Dermaptera","","","","Insecta","Dermaptera","","","","Dermaptera","Order","Order"
"633","ASV_51","Insecta","d__Eukaryota","p__Arthropoda","c__Insecta","Dermaptera","","","","Insecta","Dermaptera","","","","Dermaptera","Order","Order"
"634","ASV_57","Insecta","d__Eukaryota","p__Arthropoda","c__Insecta","Dermaptera","","","","Insecta","Dermaptera","","","","Dermaptera","Order","Order"
"635","ASV_67","Insecta","d__Eukaryota","p__Arthropoda","c__Insecta","Dermaptera","","","","Insecta","Dermaptera","","","","Dermaptera","Order","Order"
"636","ASV_68","Insecta","d__Eukaryota","p__Arthropoda","c__Insecta","Dermaptera","","","","Insecta","Dermaptera","","","","Dermaptera","Order","Order"
"637","ASV_97","Insecta","d__Eukaryota","p__Arthropoda","c__Insecta","Dermaptera","","","","Insecta","Dermaptera","","","","Dermaptera","Order","Order"
"638","ASV_108","Insecta","d__Eukaryota","p__Arthropoda","c__Insecta","Dermaptera","","","","Insecta","Dermaptera","","","","Dermaptera","Order","Order"
"639","ASV_116","Insecta","d__Eukaryota","p__Arthropoda","c__Insecta","Dermaptera","","","","Insecta","Dermaptera","","","","Dermaptera","Order","Order"
"640","ASV_126","Insecta","d__Eukaryota","p__Arthropoda","c__Insecta","Dermaptera","","","","Insecta","Dermaptera","","","","Dermaptera","Order","Order"
"641","ASV_138","Insecta","d__Eukaryota","p__Arthropoda","c__Insecta","Dermaptera","","","","Insecta","Dermaptera","","","","Dermaptera","Order","Order"
"642","ASV_140","Insecta","d__Eukaryota","p__Arthropoda","c__Insecta","Dermaptera","","","","Insecta","Dermaptera","","","","Dermaptera","Order","Order"
"643","ASV_162","Insecta","d__Eukaryota","p__Arthropoda","c__Insecta","Dermaptera","","","","Insecta","Dermaptera","","","","Dermaptera","Order","Order"
"644","ASV_165","Insecta","d__Eukaryota","p__Arthropoda","c__Insecta","Dermaptera","","","","Insecta","Dermaptera","","","","Dermaptera","Order","Order"
"645","ASV_170","Insecta","d__Eukaryota","p__Arthropoda","c__Insecta","Dermaptera","","","","Insecta","Dermaptera","","","","Dermaptera","Order","Order"
"646","ASV_173","Insecta","d__Eukaryota","p__Arthropoda","c__Insecta","Diptera","","","","Insecta","Diptera","Chloropidae","Siphunculina","Siphunculina striolata","Siphunculina striolata","Species","Order"
"647","ASV_175","Insecta","d__Eukaryota","p__Arthropoda","c__Insecta","Dermaptera","","","","Insecta","Dermaptera","","","","Dermaptera","Order","Order"
"648","ASV_188","Insecta","d__Eukaryota","p__Arthropoda","c__Insecta","Dermaptera","","","","Insecta","Dermaptera","","","","Dermaptera","Order","Order"
"649","ASV_195","Insecta","d__Eukaryota","p__Arthropoda","c__Insecta","Dermaptera","","","","Insecta","Dermaptera","","","","Dermaptera","Order","Order"
"650","ASV_197","Insecta","d__Eukaryota","p__Arthropoda","c__Insecta","Dermaptera","","","","Insecta","Dermaptera","","","","Dermaptera","Order","Order"
"651","ASV_204","Insecta","d__Eukaryota","p__Arthropoda","c__Insecta","Dermaptera","","","","Insecta","Dermaptera","","","","Dermaptera","Order","Order"
"652","ASV_205","Insecta","d__Eukaryota","p__Arthropoda","c__Insecta","Dermaptera","","","","Insecta","Dermaptera","","","","Dermaptera","Order","Order"
"653","ASV_219","Insecta","d__Eukaryota","p__Arthropoda","c__Insecta","Hemiptera","","","","Insecta","Hemiptera","","","","Hemiptera","Order","Order"
"654","ASV_235","Insecta","d__Eukaryota","p__Arthropoda","c__Insecta","Dermaptera","","","","Insecta","Dermaptera","","","","Dermaptera","Order","Order"
"655","ASV_238","Insecta","d__Eukaryota","p__Arthropoda","c__Insecta","Dermaptera","","","","Insecta","Dermaptera","","","","Dermaptera","Order","Order"
"656","ASV_246","Insecta","d__Eukaryota","p__Arthropoda","c__Insecta","Dermaptera","","","","Insecta","Dermaptera","","","","Dermaptera","Order","Order"
"657","ASV_252","Insecta","d__Eukaryota","p__Arthropoda","c__Insecta","Dermaptera","","","","Insecta","Dermaptera","","","","Dermaptera","Order","Order"
"658","ASV_260","Insecta","d__Eukaryota","p__Arthropoda","c__Insecta","Dermaptera","","","","Insecta","Dermaptera","","","","Dermaptera","Order","Order"
"659","ASV_276","Insecta","d__Eukaryota","p__Arthropoda","c__Insecta","Dermaptera","","","","Insecta","Dermaptera","","","","Dermaptera","Order","Order"
"660","ASV_277","Insecta","d__Eukaryota","p__Arthropoda","c__Insecta","Dermaptera","","","","Insecta","Dermaptera","","","","Dermaptera","Order","Order"
"661","ASV_282","Insecta","d__Eukaryota","p__Arthropoda","c__Insecta","Dermaptera","","","","Insecta","Dermaptera","","","","Dermaptera","Order","Order"
"662","ASV_288","Insecta","d__Eukaryota","p__Arthropoda","c__Insecta","Dermaptera","","","","Insecta","Dermaptera","","","","Dermaptera","Order","Order"
"663","ASV_289","Insecta","d__Eukaryota","p__Arthropoda","c__Insecta","Dermaptera","","","","Insecta","Dermaptera","","","","Dermaptera","Order","Order"
"664","ASV_290","Insecta","d__Eukaryota","p__Arthropoda","c__Insecta","Dermaptera","","","","Insecta","Dermaptera","","","","Dermaptera","Order","Order"
"665","ASV_305","Insecta","d__Eukaryota","p__Arthropoda","c__Insecta","Dermaptera","","","","Insecta","Dermaptera","","","","Dermaptera","Order","Order"
"666","ASV_315","Insecta","d__Eukaryota","p__Arthropoda","c__Insecta","Dermaptera","","","","Insecta","Dermaptera","","","","Dermaptera","Order","Order"
"667","ASV_317","Insecta","d__Eukaryota","p__Arthropoda","c__Insecta","Dermaptera","","","","Insecta","Dermaptera","","","","Dermaptera","Order","Order"
"668","ASV_320","Insecta","d__Eukaryota","p__Arthropoda","c__Insecta","Dermaptera","","","","Insecta","Dermaptera","","","","Dermaptera","Order","Order"
"669","ASV_338","Insecta","d__Eukaryota","p__Arthropoda","c__Insecta","Dermaptera","","","","Insecta","Dermaptera","","","","Dermaptera","Order","Order"
"670","ASV_343","Insecta","d__Eukaryota","p__Arthropoda","c__Insecta","Dermaptera","","","","Insecta","Dermaptera","","","","Dermaptera","Order","Order"
"671","ASV_355","Insecta","d__Eukaryota","p__Arthropoda","c__Insecta","Dermaptera","","","","Insecta","Dermaptera","","","","Dermaptera","Order","Order"
"672","ASV_368","Insecta","d__Eukaryota","p__Arthropoda","c__Insecta","Dermaptera","","","","Insecta","Dermaptera","","","","Dermaptera","Order","Order"
"673","ASV_369","Insecta","d__Eukaryota","p__Arthropoda","c__Insecta","Dermaptera","","","","Insecta","Dermaptera","","","","Dermaptera","Order","Order"
"674","ASV_380","Insecta","d__Eukaryota","p__Arthropoda","c__Insecta","Dermaptera","","","","Insecta","Dermaptera","","","","Dermaptera","Order","Order"
"675","ASV_384","Insecta","d__Eukaryota","p__Arthropoda","c__Insecta","Dermaptera","","","","Insecta","Dermaptera","","","","Dermaptera","Order","Order"
"676","ASV_390","Insecta","d__Eukaryota","p__Arthropoda","c__Insecta","Dermaptera","","","","Insecta","Dermaptera","","","","Dermaptera","Order","Order"
"677","ASV_391","Insecta","d__Eukaryota","p__Arthropoda","c__Insecta","Dermaptera","","","","Insecta","Dermaptera","","","","Dermaptera","Order","Order"
"678","ASV_406","Insecta","d__Eukaryota","p__Arthropoda","c__Insecta","Dermaptera","","","","Insecta","Dermaptera","","","","Dermaptera","Order","Order"
"679","ASV_433","Insecta","d__Eukaryota","p__Arthropoda","c__Insecta","Dermaptera","","","","Insecta","Dermaptera","","","","Dermaptera","Order","Order"
"680","ASV_453","Insecta","d__Eukaryota","p__Arthropoda","c__Insecta","Dermaptera","","","","Insecta","Dermaptera","","","","Dermaptera","Order","Order"
"681","ASV_466","Insecta","d__Eukaryota","p__Arthropoda","c__Insecta","Dermaptera","","","","Insecta","Dermaptera","","","","Dermaptera","Order","Order"
"682","ASV_474","Insecta","d__Eukaryota","p__Arthropoda","c__Insecta","Dermaptera","","","","Insecta","Dermaptera","","","","Dermaptera","Order","Order"
"683","ASV_513","Insecta","d__Eukaryota","p__Arthropoda","c__Insecta","Dermaptera","","","","Insecta","Dermaptera","","","","Dermaptera","Order","Order"
"684","ASV_527","Insecta","d__Eukaryota","p__Arthropoda","c__Insecta","Dermaptera","","","","Insecta","Dermaptera","","","","Dermaptera","Order","Order"
"685","ASV_550","Insecta","d__Eukaryota","p__Arthropoda","c__Insecta","Dermaptera","","","","Insecta","Dermaptera","","","","Dermaptera","Order","Order"
"686","ASV_581","Insecta","d__Eukaryota","p__Arthropoda","c__Insecta","Dermaptera","","","","Insecta","Dermaptera","","","","Dermaptera","Order","Order"
"687","ASV_583","Insecta","d__Eukaryota","p__Arthropoda","c__Insecta","Dermaptera","","","","Insecta","Dermaptera","","","","Dermaptera","Order","Order"
"688","ASV_588","Insecta","d__Eukaryota","p__Arthropoda","c__Insecta","Dermaptera","","","","Insecta","Dermaptera","","","","Dermaptera","Order","Order"
"689","ASV_606","Insecta","d__Eukaryota","p__Arthropoda","c__Insecta","Dermaptera","","","","Insecta","Dermaptera","","","","Dermaptera","Order","Order"
"690","ASV_608","Insecta","d__Eukaryota","p__Arthropoda","c__Insecta","Dermaptera","","","","Insecta","Dermaptera","","","","Dermaptera","Order","Order"
"691","ASV_627","Insecta","d__Eukaryota","p__Arthropoda","c__Insecta","Dermaptera","","","","Insecta","Dermaptera","","","","Dermaptera","Order","Order"
"692","ASV_634","Insecta","d__Eukaryota","p__Arthropoda","c__Insecta","Dermaptera","","","","Insecta","Dermaptera","","","","Dermaptera","Order","Order"
"693","ASV_658","Insecta","d__Eukaryota","p__Arthropoda","c__Insecta","Diptera","","","","Insecta","Diptera","","","","Diptera","Order","Order"
"694","ASV_693","Insecta","d__Eukaryota","p__Arthropoda","c__Insecta","Dermaptera","","","","Insecta","Dermaptera","","","","Dermaptera","Order","Order"
"695","ASV_704","Insecta","d__Eukaryota","p__Arthropoda","c__Insecta","Dermaptera","","","","Insecta","Dermaptera","","","","Dermaptera","Order","Order"
"696","ASV_768","Insecta","d__Eukaryota","p__Arthropoda","c__Insecta","Dermaptera","","","","Insecta","Dermaptera","","","","Dermaptera","Order","Order"
"697","ASV_950","Insecta","d__Eukaryota","p__Arthropoda","c__Insecta","Dermaptera","","","","Insecta","Dermaptera","","","","Dermaptera","Order","Order"
"698","ASV_972","Insecta","d__Eukaryota","p__Arthropoda","c__Insecta","Dermaptera","","","","Insecta","Dermaptera","","","","Dermaptera","Order","Order"
"699","ASV_1001","Insecta","d__Eukaryota","p__Arthropoda","c__Insecta","Dermaptera","","","","Insecta","Dermaptera","","","","Dermaptera","Order","Order"
"700","ASV_1410","Insecta","d__Eukaryota","p__Arthropoda","c__Insecta","Dermaptera","","","","Insecta","Dermaptera","","","","Dermaptera","Order","Order"
"701","ASV_1527","Insecta","d__Eukaryota","p__Arthropoda","c__Insecta","Dermaptera","","","","Insecta","Dermaptera","","","","Dermaptera","Order","Order"
"702","ASV_1622","Insecta","d__Eukaryota","p__Arthropoda","c__Insecta","Dermaptera","","","","Insecta","Dermaptera","","","","Dermaptera","Order","Order"
"703","ASV_32","Insecta","d__Eukaryota","p__Arthropoda","c__Insecta","Dermaptera","","","","Insecta","Dermaptera","","","","Dermaptera","Order","Order"
"704","ASV_179","Insecta","d__Eukaryota","p__Arthropoda","c__Insecta","Diptera","","","","Insecta","Diptera","","","","Diptera","Order","Order"
"705","ASV_208","Insecta","d__Eukaryota","p__Arthropoda","c__Insecta","Dermaptera","","","","Insecta","Dermaptera","","","","Dermaptera","Order","Order"
"706","ASV_306","Insecta","d__Eukaryota","p__Arthropoda","c__Insecta","Coleoptera","","","","Insecta","Coleoptera","","","","Coleoptera","Order","Order"
"707","ASV_450","Insecta","d__Eukaryota","p__Arthropoda","c__Insecta","Diptera","","","","Insecta","Diptera","","","","Diptera","Order","Order"
"708","ASV_599","Insecta","d__Eukaryota","p__Arthropoda","c__Insecta","Dermaptera","","","","Insecta","Dermaptera","","","","Dermaptera","Order","Order"
"709","ASV_687","Insecta","d__Eukaryota","p__Arthropoda","c__Insecta","Diptera","","","","Insecta","Diptera","","","","Diptera","Order","Order"
"710","ASV_739","Insecta","d__Eukaryota","p__Arthropoda","c__Insecta","Diptera","","","","Insecta","Diptera","","","","Diptera","Order","Order"
"711","ASV_748","Insecta","d__Eukaryota","p__Arthropoda","c__Insecta","Diptera","","","","Insecta","Diptera","Dolichopodidae","Chrysotus","Chrysotus cockerellae","Chrysotus cockerellae","Species","Order"
"712","ASV_1095","Insecta","d__Eukaryota","p__Arthropoda","c__Insecta","Coleoptera","","","","Insecta","Coleoptera","","","","Coleoptera","Order","Order"
"713","ASV_1356","Insecta","d__Eukaryota","p__Arthropoda","c__Insecta","Diptera","","","","Insecta","Diptera","Phoridae","Chonocephalus","","Chonocephalus sp.","Genus","Order"
"714","ASV_1360","Insecta","d__Eukaryota","p__Arthropoda","c__Insecta","Diptera","","","","Insecta","Diptera","","","","Diptera","Order","Order"
"715","ASV_1439","Insecta","d__Eukaryota","p__Arthropoda","c__Insecta","Coleoptera","","","","Insecta","Coleoptera","","","","Coleoptera","Order","Order"
"716","ASV_1670","Insecta","d__Eukaryota","p__Arthropoda","c__Insecta","Coleoptera","","","","Insecta","Coleoptera","","","","Coleoptera","Order","Order"
"717","ASV_1672","Insecta","d__Eukaryota","p__Arthropoda","c__Insecta","Diptera","","","","Insecta","Diptera","","","","Diptera","Order","Order"
"718","ASV_211","Lepidoptera","d__Eukaryota","p__Arthropoda","c__Insecta","o__Lepidoptera","","","","Insecta","Lepidoptera","Agonoxenidae","Agonoxena","Agonoxena argaula","Agonoxena argaula","Species","Order"
"719","ASV_371","Lepidoptera","d__Eukaryota","p__Arthropoda","c__Insecta","o__Lepidoptera","","","","Insecta","Lepidoptera","Tineidae","Erechthias","Erechthias simulans","Erechthias simulans","Species","Order"
"720","ASV_319","Erebidae","d__Eukaryota","p__Arthropoda","c__Insecta","o__Lepidoptera","f__Erebidae","","","Insecta","Lepidoptera","","","","Lepidoptera","Order","Family"
"721","ASV_370","Lepidoptera sp. sc","d__Eukaryota","p__Arthropoda","c__Insecta","o__Lepidoptera","","","s__Lepidoptera sp. sc_03005","Insecta","Lepidoptera","","","","Lepidoptera","Order","Species"
"722","ASV_543","Lepidoptera sp. sc","d__Eukaryota","p__Arthropoda","c__Insecta","o__Lepidoptera","","","s__Lepidoptera sp. sc_03005","Insecta","Lepidoptera","","","","Lepidoptera","Order","Species"
"723","ASV_1124","Lepidoptera sp. sc","d__Eukaryota","p__Arthropoda","c__Insecta","o__Lepidoptera","","","s__Lepidoptera sp. sc_03005","Insecta","Lepidoptera","","","","Lepidoptera","Order","Species"
"724","ASV_888","Nephus sp. PSRU-COC007","d__Eukaryota","p__Arthropoda","c__Insecta","o__Coleoptera","f__Coccinellidae","g__Nephus","s__Nephus sp. PSRU-COC007","Insecta","Coleoptera","","","","Coleoptera","Order","Species"
"725","ASV_566","Hypothenemus sp. H206","d__Eukaryota","p__Arthropoda","c__Insecta","o__Coleoptera","f__Curculionidae","g__Hypothenemus","s__Hypothenemus sp. H206","Insecta","Coleoptera","","","","Coleoptera","Order","Species"
"726","ASV_455","Philonthus explorator","d__Eukaryota","p__Arthropoda","c__Insecta","o__Coleoptera","f__Staphylinidae","g__Philonthus","s__Philonthus explorator","Insecta","Coleoptera","","","","Coleoptera","Order","Species"
"727","ASV_696","Diptera","d__Eukaryota","p__Arthropoda","c__Insecta","o__Diptera","","","","Insecta","Diptera","Ceratopogonidae","Dasyhelea","Dasyhelea ludingensis","Dasyhelea ludingensis","Species","Order"
"728","ASV_1007","Diptera","d__Eukaryota","p__Arthropoda","c__Insecta","o__Diptera","","","","Insecta","Diptera","Chloropidae","Gaurax","Gaurax bicoloripes","Gaurax bicoloripes","Species","Order"
"729","ASV_298","Chloropidae","d__Eukaryota","p__Arthropoda","c__Insecta","o__Diptera","f__Chloropidae","","","Insecta","Diptera","","","","Diptera","Order","Family"
"730","ASV_902","Chloropidae","d__Eukaryota","p__Arthropoda","c__Insecta","o__Diptera","f__Chloropidae","","","Insecta","Diptera","","","","Diptera","Order","Family"
"731","ASV_488","Agromyzidae","d__Eukaryota","p__Arthropoda","c__Insecta","o__Diptera","f__Agromyzidae","","","Insecta","Diptera","Agromyzidae","Liriomyza","Liriomyza sativae","Liriomyza sativae","Species","Family"
"732","ASV_425","Cephalochrysa","d__Eukaryota","p__Arthropoda","c__Insecta","o__Diptera","f__Stratiomyidae","g__Cephalochrysa","","Insecta","Diptera","Stratiomyidae","Cephalochrysa","Cephalochrysa maxima","Cephalochrysa maxima","Species","Genus"
"733","ASV_1563","Diadiplosis donaldi","d__Eukaryota","p__Arthropoda","c__Insecta","o__Diptera","f__Cecidomyiidae","g__Diadiplosis","s__Diadiplosis donaldi","Insecta","Diptera","","","","Diptera","Order","Species"
"734","ASV_1204","Cecidomyiidae","d__Eukaryota","p__Arthropoda","c__Insecta","o__Diptera","f__Cecidomyiidae","","","Insecta","Diptera","","","","Diptera","Order","Family"
"735","ASV_245","Sciaridae","d__Eukaryota","p__Arthropoda","c__Insecta","o__Diptera","f__Sciaridae","","","Insecta","Diptera","Sciaridae","Bradysia","Bradysia ocellaris","Bradysia ocellaris","Species","Family"
"736","ASV_1346","Sciaridae","d__Eukaryota","p__Arthropoda","c__Insecta","o__Diptera","f__Sciaridae","","","Insecta","Diptera","","","","Diptera","Order","Family"
"737","ASV_1184","Sciaridae sp. BIOUG15345-H01","d__Eukaryota","p__Arthropoda","c__Insecta","o__Diptera","f__Sciaridae","","s__Sciaridae sp. BIOUG15345-H01","Insecta","Diptera","","","","Diptera","Order","Species"
"738","ASV_1442","Sciaridae sp. sc","d__Eukaryota","p__Arthropoda","c__Insecta","o__Diptera","f__Sciaridae","","s__Sciaridae sp. sc_02707","Insecta","Diptera","","","","Diptera","Order","Species"
"739","ASV_1096","Sciaridae sp. sc","d__Eukaryota","p__Arthropoda","c__Insecta","o__Diptera","f__Sciaridae","","s__Sciaridae sp. sc_07876","Insecta","Diptera","","","","Diptera","Order","Species"
"740","ASV_753","Culicoides sp. OM-2014","d__Eukaryota","p__Arthropoda","c__Insecta","o__Diptera","f__Ceratopogonidae","g__Culicoides","s__Culicoides sp. OM-2014","Insecta","Diptera","","","","Diptera","Order","Species"
"741","ASV_1357","Ceratopogonidae sp. sc","d__Eukaryota","p__Arthropoda","c__Insecta","o__Diptera","f__Ceratopogonidae","","s__Ceratopogonidae sp. sc_07781","Insecta","Diptera","","","","Diptera","Order","Species"
"742","ASV_400","Limoniidae","d__Eukaryota","p__Arthropoda","c__Insecta","o__Diptera","f__Limoniidae","","","Insecta","Diptera","","","","Diptera","Order","Family"
