"","ASV","unique_ID","Domain","Phylum","Class","Order","Family","Genus","Species","Class_bold","Order_bold","Family_bold","Genus_bold","Species_bold","ID_bold","ID_level_bold","ID_level"
"487","ASV_1003","Orthoptera","d__Eukaryota","p__Arthropoda","c__Insecta","o__Orthoptera","","","","Insecta","Orthoptera","","","","Orthoptera","Order","Order"
"488","ASV_1298","Orthoptera","d__Eukaryota","p__Arthropoda","c__Insecta","o__Orthoptera","","","","Insecta","Orthoptera","","","","Orthoptera","Order","Order"
"489","ASV_1299","Orthoptera","d__Eukaryota","p__Arthropoda","c__Insecta","o__Orthoptera","","","","Insecta","Orthoptera","","","","Orthoptera","Order","Order"
"490","ASV_1309","Orthoptera","d__Eukaryota","p__Arthropoda","c__Insecta","o__Orthoptera","","","","Insecta","Orthoptera","","","","Orthoptera","Order","Order"
"491","ASV_1351","Orthoptera","d__Eukaryota","p__Arthropoda","c__Insecta","o__Orthoptera","","","","Insecta","Orthoptera","","","","Orthoptera","Order","Order"
"492","ASV_1372","Orthoptera","d__Eukaryota","p__Arthropoda","c__Insecta","o__Orthoptera","","","","Insecta","Orthoptera","","","","Orthoptera","Order","Order"
"493","ASV_1470","Orthoptera","d__Eukaryota","p__Arthropoda","c__Insecta","o__Orthoptera","","","","Insecta","Orthoptera","","","","Orthoptera","Order","Order"
"494","ASV_1574","Orthoptera","d__Eukaryota","p__Arthropoda","c__Insecta","o__Orthoptera","","","","Insecta","Orthoptera","","","","Orthoptera","Order","Order"
"495","ASV_1682","Orthoptera","d__Eukaryota","p__Arthropoda","c__Insecta","o__Orthoptera","","","","Insecta","Orthoptera","","","","Orthoptera","Order","Order"
"496","ASV_1712","Orthoptera","d__Eukaryota","p__Arthropoda","c__Insecta","o__Orthoptera","","","","Insecta","Orthoptera","","","","Orthoptera","Order","Order"
"497","ASV_1714","Orthoptera","d__Eukaryota","p__Arthropoda","c__Insecta","o__Orthoptera","","","","Insecta","Orthoptera","","","","Orthoptera","Order","Order"
"498","ASV_1716","Orthoptera","d__Eukaryota","p__Arthropoda","c__Insecta","o__Orthoptera","","","","Insecta","Orthoptera","","","","Orthoptera","Order","Order"
