	CL1-2_S28	CL4-2_S29	EUB10_S70	EUB12_S71	EUB13_S101	EUB15_S102	EUB16_S103	EUB18_S104	EUB19_S105	EUB1_S61	EUB20_S106	EUB21_S51	EUB23_S52	EUB24_S53	EUB25_S54	EUB26_S55	EUB27_S56	EUB28_S57	EUB29_S58	EUB2_S62	EUB30_S59	EUB31_S60	EUB32_S91	EUB34_S92	EUB35_S93	EUB36_S94	EUB3_S63	EUB4_S64	EUB5_S65	EUB6_S66	EUB7_S67	EUB8_S68	EUB9_S69	HEV07_S10	HEV10_S1	HEV11_S2	HEV12_S7	HEV13_S12	HEV14_S13	HEV15_S14	HEV16_S8	HEV17_S3	HEV18_S9	HEV20_S31	HEV21_S15	HEV22_S16	HEV23_S11	HEV24_S4	HEV25_S5	HEV26_S6	HEV27_S33	HEV29_S32	ISO10_S25	ISO11_S26	ISO12_S45	ISO13_S34	ISO14_S35	ISO15_S36	ISO16_S37	ISO17_S47	ISO18_S38	ISO19_S39	ISO1_S17	ISO20_S40	ISO21_S41	ISO22_S42	ISO23_S48	ISO24_S43	ISO25_S44	ISO26_S84	ISO27_S46	ISO2_S18	ISO30_S49	ISO31_S50	ISO32_S85	ISO33_S90	ISO34_S86	ISO35_S87	ISO36_S88	ISO37_S89	ISO4_S19	ISO5_S20	ISO6_S21	ISO7_S22	ISO8_S23	ISO9_S24	LRS2_S95	LRS3_S96	LRS5_S97	LRS6_S98	LRS7_S99	LRS8_S100	NEG_S27	PAN10_S81	PAN11_S82	PAN12_S83	PAN13_S107	PAN14_S108	PAN15_S109	PAN1_S72	PAN2_S73	PAN3_S74	PAN4_S75	PAN5_S76	PAN6_S77	PAN7_S78	PAN8_S79	PAN9_S80	QC1_S30
ASV_11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43893	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ASV_12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	11161	0	3573	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_13	0	0	528	672	656	243	521	587	604	231	830	660	0	0	0	0	0	0	0	422	0	0	544	168	752	717	252	448	340	386	283	299	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_14	0	0	355	603	595	115	460	1023	576	216	1184	525	0	0	0	0	0	0	0	330	0	0	481	101	967	580	199	421	310	345	333	228	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_15	0	0	246	721	905	31	148	1627	551	99	1119	254	0	0	0	0	0	0	0	149	0	0	287	96	420	742	100	75	222	188	614	178	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_17	0	0	491	1219	0	0	0	3902	0	0	0	0	0	8	0	0	7	15	0	0	58	0	0	0	0	0	376	168	487	0	0	224	678	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	10	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	52	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	21	0	0
ASV_18	0	0	0	465	460	0	578	760	504	0	81	457	0	0	0	0	0	0	0	0	2	0	0	0	756	446	0	0	0	0	354	0	617	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4898	0	0	0	0	0	98	0	0	0	0	0	0	0	165	0	158	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_20	0	0	315	335	500	62	177	509	433	57	102	237	0	0	0	0	0	0	0	111	0	0	179	84	219	492	86	110	196	163	118	106	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
