	CEN10_S19	CEN11_S26	CEN12_S27	CEN13_S35	CEN14_S36	CEN15_S37	CEN16_S38	CEN17_S39	CEN1_S11	CEN2_S12	CEN3_S13	CEN4_S14	CEN6_S15	CEN7_S16	CEN8_S17	CEN9_S18	CL1-2_S29	CL4-2_S30	HEV07_S6	HEV10_S1	HEV11_S2	HEV12_S5	HEV13_S8	HEV14_S9	HEV15_S10	HEV16_S22	HEV17_S3	HEV18_S23	HEV20_S32	HEV21_S24	HEV22_S25	HEV23_S7	HEV24_S4	HEV25_S20	HEV26_S21	HEV27_S34	HEV29_S33	NEG_S28	PHH10_S57	PHH16_S58	PHH20_S59	PHH21_S60	PHH22_S61	PHH23_S88	PHH24_S89	PHH25_S74	PHH30_S91	PHH32_S75	PHH34_S76	PHH35_S77	PHH38_S78	PHH39_S92	PHH40_S79	PHH41_S93	PHH42_S80	PHH43_S81	PHH44_S94	PHH45_S95	PHH46_S82	PHH47_S83	PHH49_S84	PHH4_S52	PHH50_S85	PHH51_S97	PHH52_S98	PHH53_S99	PHH54_S100	PHH55_S101	PHH56_S102	PHH57_S103	PHH58_S104	PHH59_S105	PHH5_S53	PHH60_S106	PHH61_S107	PHH62_S62	PHH63_S63	PHH65_S64	PHH66_S65	PHH67_S66	PHH68_S67	PHH69_S68	PHH6_S90	PHH70_S69	PHH71_S70	PHH72_S71	PHH73_S72	PHH74_S73	PHH75_S96	PHH7_S54	PHH8_S55	PHH9_S56	QC1_S31	SME10_S48	SME11_S49	SME12_S50	SME13_S51	SME14_S86	SME1_S40	SME2_S41	SME3_S42	SME5_S43	SME6_S44	SME7_S45	SME8_S46	SME9_S47	SME_S87
ASV_11	27	5	5	4	0	14	26	4	0	10	7	11	1	25	2	12	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1603	2541	2224	3420	549	4367	3981	3013	1410	1237	1516	1892	4626	1231	2929	2237	1280	1400	754	2110	1158	6055	0	7298	4397	5553	1617	1117	3887	2719	684	1269	1783	1359	3875	3799	1084	2494	1	945	2736	3402	3536	4	0	1543	2517	3727	3783	3393	3022	2225	899	1323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_12	45	0	0	0	0	35	35	0	0	22	0	36	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	971	3997	2629	3224	1014	4010	4233	1520	270	2251	865	1832	2659	1099	1729	812	1869	1766	1123	2341	933	2187	2198	3139	2994	2466	3482	861	798	1440	862	1961	935	2581	3571	1694	1429	953	1753	665	1489	2301	1132	1612	2189	1183	4248	3234	2089	2484	2201	1246	799	3311	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_13	5	0	0	1	0	2	9	3	0	5	0	6	0	7	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	656	898	895	1140	381	2122	195	1027	4	1305	1183	842	1146	281	792	145	1465	1112	428	484	675	2797	1543	2641	2750	2098	1331	1463	2576	1772	1031	972	768	898	3695	1353	1657	1882	1321	1366	1205	1765	2055	822	754	720	1948	2565	1627	1169	1191	1031	466	881	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ASV_14	0	64487	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_15	14	4	0	1	0	7	5	6	0	0	0	5	0	8	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	376	1903	1327	1564	283	1977	2610	569	247	1338	496	885	1080	568	575	366	730	754	461	989	393	677	802	1080	1660	915	1201	653	488	671	461	692	337	978	1290	549	523	591	908	328	609	1078	720	656	756	661	1706	1234	783	985	929	467	256	1166	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ASV_16	6	2	0	0	0	8	6	0	0	7	1	5	0	6	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	212	1364	849	1207	166	1614	1527	487	110	924	476	801	723	487	426	311	520	607	266	611	320	1049	582	915	1466	688	975	315	442	470	341	618	296	761	1165	502	539	556	693	312	473	1034	445	487	669	451	1269	1122	586	864	808	385	234	909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_17	17	6	2	0	1	8	3	3	0	0	0	7	0	5	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	239	1344	801	1199	184	1262	2071	344	256	945	392	897	719	519	511	348	626	465	445	381	301	666	668	849	1478	686	836	369	267	453	277	593	266	815	1036	449	414	430	790	246	537	994	422	414	540	420	1285	1038	538	962	988	445	234	832	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ASV_18	0	0	0	0	0	0	0	34962	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_19	22	2	0	0	0	9	5	0	0	3	0	0	0	17	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	354	873	563	846	463	666	886	518	127	535	587	556	971	280	568	416	783	704	438	388	563	909	808	1110	1042	913	923	338	418	495	387	430	410	524	1232	609	604	542	542	267	871	548	509	282	387	350	768	609	671	536	766	685	332	568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_20	0	0	0	30554	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
