dada3_input,filtered,dada_f,dada_r,merged,nonchim,final_perc_reads_retained
142119,117413,117408,117394,117092,117090,82.4
110854,91674,91673,91661,91116,91115,82.2
83783,67603,67602,67600,66887,66885,79.8
136039,106976,106970,106965,106918,106911,78.6
123076,111064,111060,111057,110939,110930,90.1
112456,98940,98910,98922,98880,98869,87.9
82093,70287,70269,70233,70200,70192,85.5
108727,91710,91706,91657,91621,91612,84.3
136973,111347,111339,111325,111140,111139,81.1
110458,89953,89949,89944,89905,89904,81.4
88514,71342,71341,71332,71302,71300,80.6
92470,73820,73813,73809,73804,73801,79.8
112596,97516,97464,97507,97371,97365,86.5
88951,74515,74511,74509,74505,74495,83.7
78383,63263,63259,63255,63252,63243,80.7
86812,71529,71524,71519,71514,71506,82.4
111486,95317,95311,95298,95209,95204,85.4
101723,84669,84666,84667,84588,84580,83.1
80368,64413,64407,64408,64338,64329,80
83633,68213,68208,68205,68189,68188,81.5
176349,158530,158524,158527,158376,158356,89.8
143820,124366,124357,124358,124344,124324,86.4
124498,107924,107921,107917,107781,107768,86.6
141293,121962,121955,121947,121919,121908,86.3
77000,66462,66430,66455,66170,66170,85.9
42751,36165,36160,36162,36110,36110,84.5
37463,29082,29078,29078,28806,28806,76.9
84372,65871,65869,65860,65860,65860,78.1
107847,98868,98862,98859,98819,98806,91.6
95055,83739,83732,83731,83645,83627,88
69311,60162,60154,60155,60052,60040,86.6
88698,76211,76207,76203,76180,76165,85.9
142461,124891,124855,124847,124648,124388,87.3
167944,153196,153180,153176,152467,151876,90.4
179180,165120,165102,165105,165032,165013,92.1
136716,123118,123101,123104,123036,122954,89.9
167570,154308,154282,154270,154149,154053,91.9
161282,147038,146975,146986,146890,146783,91
156738,138564,138550,138544,138465,138395,88.3
141067,129943,129936,129934,129831,129831,92
124477,109194,109181,109181,109069,109037,87.6
115981,99282,99267,99261,99238,99238,85.6
90041,72772,72765,72766,72696,72696,80.7
84534,67967,67954,67960,67908,67908,80.3
68472,49552,49546,49551,49534,49534,72.3
41093,19575,19567,19552,19543,19543,47.6
32007,13392,13391,13389,13374,13374,41.8
63133,52473,52469,52467,52363,52362,82.9
24682,11232,11231,11229,11229,11229,45.5
76152,67069,67052,67060,67019,67019,88
63922,49308,49305,49291,49273,49273,77.1
90686,80595,80590,80593,80547,80547,88.8
75190,58936,58932,58931,57781,57781,76.8
152170,131233,131229,131229,131150,131150,86.2
117311,94991,94988,94976,94974,94974,81
109954,99259,99250,99231,99187,99187,90.2
81900,68258,68248,68244,68211,68211,83.3
118637,101279,101254,101259,101220,101220,85.3
96667,74165,74151,74153,74144,74144,76.7
77724,70157,70144,70138,70096,70042,90.1
61824,50801,50789,50787,50763,50738,82.1
69648,62363,62360,62355,62329,62328,89.5
54204,44066,44062,44062,44060,44059,81.3
122177,107084,107016,107044,106898,106879,87.5
97965,77533,77456,77455,77317,77289,78.9
79215,68428,68423,68421,68153,68142,86
55788,44635,44628,44631,44528,44528,79.8
158812,144846,144826,144813,144736,144726,91.1
139292,117656,117594,117636,117530,117529,84.4
122575,103477,103472,103471,103353,103353,84.3
98164,75958,75955,75944,75941,75941,77.4
91920,50753,50687,50738,146,146,0.2
85615,44678,44454,44663,31,31,0
86621,46358,46342,46345,173,173,0.2
101786,56915,56879,56898,175,175,0.2
93709,53588,53325,53578,120,120,0.1
80395,44814,43916,44804,83,83,0.1
87959,47485,46310,47473,53,53,0.1
104972,58405,58385,58395,37,37,0
79220,45039,45024,45017,79,75,0.1
100947,56141,56075,56133,48,48,0
76922,36304,36285,36289,369,369,0.5
118485,65693,65405,65644,1167,1167,1
80267,42330,42018,42309,1542,1482,1.8
102908,58920,58913,58895,8864,8843,8.6
107342,58797,58079,58780,57,54,0.1
93045,54518,54511,54502,2097,2096,2.3
78981,41332,41191,41312,139,139,0.2
83457,46785,46759,46765,3803,3739,4.5
93920,52713,52615,52702,2664,2664,2.8
109229,61311,61239,61282,248,248,0.2
83433,42280,42161,42255,235,235,0.3
91305,49532,49142,49505,287,287,0.3
89475,48892,48850,48881,288,288,0.3
89023,49059,48174,49051,965,965,1.1
101421,54330,54304,54297,344,344,0.3
72050,38731,38629,38717,277,277,0.4
84400,47444,47392,47435,108,108,0.1
81028,45534,44964,45515,177,177,0.2
71632,40100,39538,40090,1275,1275,1.8
106204,61476,61313,61442,1020,1020,1
70431,36195,36036,36177,99,99,0.1
87760,47291,46493,47277,191,191,0.2
102523,55634,55591,55602,154,154,0.2
98586,55220,54904,55213,98,98,0.1
64759,19445,19402,19381,16429,16283,25.1
31131,5844,5809,5796,4912,4836,15.5
48198,12286,12262,12238,10414,10329,21.4
74207,47302,46963,47106,23781,22672,30.6
81900,24283,24229,24210,20119,20031,24.5
73780,21178,21154,21152,17619,17561,23.8
873,346,344,346,315,314,36
281,31,31,31,30,30,10.7
439,24,22,22,22,22,5
125080,111994,111911,111930,111780,111771,89.4
128711,115723,115666,115679,115471,115347,89.6
123431,113110,113081,113080,112874,112863,91.4
133949,123692,123667,123652,123443,123434,92.1
120843,111554,111505,111498,111353,111334,92.1
71950,64410,64407,64400,64148,64148,89.2
134973,126977,126948,126966,126740,126724,93.9
81119,75384,75332,75351,75235,75235,92.7
93773,83957,83940,83938,83817,83813,89.4
111645,102844,102823,102807,102657,102530,91.8
126634,111727,111721,111710,111087,111087,87.7
131025,119045,119018,119015,118867,118862,90.7
133481,120586,120552,120469,120252,119998,89.9
127522,118961,118912,118913,118750,118722,93.1
133304,123723,123706,123709,123567,123546,92.7
159506,148873,148866,148856,148755,148722,93.2
117590,109889,109771,109879,109594,109594,93.2
155986,139179,139171,139156,138961,138948,89.1
129821,115353,115325,115332,114366,106713,82.2
86262,68133,68101,68057,67545,67331,78.1
140744,131249,131140,131226,130982,130897,93
147074,132670,132616,132620,132027,127393,86.6
111094,100307,100279,100215,98417,98401,88.6
131423,120551,120533,120526,120265,120222,91.5
109740,99525,99478,99478,99219,99142,90.3
122467,112495,112423,112433,111903,111614,91.1
100687,87066,87052,87045,87038,87038,86.4
98685,86276,86259,86256,86248,86248,87.4
100598,88652,88625,88627,88374,88374,87.8
96236,85472,85456,85451,85433,85431,88.8
97362,87067,87056,87046,87022,87022,89.4
61187,53951,53945,53944,53922,53922,88.1
84060,72228,72202,72192,72156,72115,85.8
82671,70779,70757,70755,70689,70675,85.5
103577,85132,85087,85097,85063,85062,82.1
87636,78492,78454,78463,78405,78402,89.5
118776,107076,107052,107026,107002,106984,90.1
121399,107322,107297,107289,107190,107183,88.3
108254,96269,96246,96084,96031,96031,88.7
101328,88109,88089,88081,88038,88038,86.9
88756,79052,79028,79020,78978,78974,89
99506,86197,86159,86156,85294,83666,84.1
128365,110596,110573,110574,109154,103368,80.5
106081,90539,90492,90505,89402,85103,80.2
126372,107394,107363,107361,106119,101123,80
121644,106517,106509,106498,105789,103669,85.2
116389,101377,101318,101324,99916,95435,82
118435,104144,104118,104090,102896,97288,82.1
147275,125750,125692,125672,124578,120915,82.1
33226,25611,25602,25595,25417,24994,75.2
112905,95432,95370,95371,94205,90183,79.9
129038,102909,102894,102888,102168,100520,77.9
105587,92869,92862,92856,91935,89725,85
150600,133273,133238,133221,131971,126932,84.3
60463,49960,49953,49946,49560,48503,80.2
115604,100110,100067,100074,99013,94905,82.1
75234,64518,64513,64508,64194,63560,84.5
124359,108388,108342,108345,107404,104857,84.3
131866,113834,113765,113766,112587,108825,82.5
88068,76864,76843,76840,76366,74197,84.2
81933,69735,69687,69681,68575,64209,78.4
139648,122424,122394,122390,121785,119688,85.7
116580,96487,96420,96426,95221,92513,79.4
112493,95394,95355,95355,94317,90974,80.9
126219,106264,106154,106161,103933,98552,78.1
