ID_bold,ZOTU,Phylum_bold,Class_bold,Order_bold,Family_bold,Genus_bold,Species_bold,Notes
Basidiomycota Arachnida ,Zotu211,Arthropoda,Arachnida,,,,,unclear
Basidiomycota Arachnida ,Zotu725,Arthropoda,Arachnida,,,,,unclear
Basidiomycota Insecta ,Zotu112,Arthropoda,Insecta,,,,,unclear
Basidiomycota Insecta ,Zotu991,Arthropoda,Insecta,,,,,unclear
Blattodea,Zotu49,Arthropoda,Insecta,Blattodea,,,,
Blattodea,Zotu153,Arthropoda,Insecta,Blattodea,,,,
Bradysia ocellaris,Zotu283,Arthropoda,Insecta,Diptera,Sciaridae,Bradysia,Bradysia ocellaris,
Cephalochrysa maxima,Zotu382,Arthropoda,Insecta,Diptera,Stratiomyidae,Cephalochrysa,Cephalochrysa maxima,
Ceresium unicolor,Zotu974,Arthropoda,Insecta,Coleoptera,Cerambycidae,Ceresium,Ceresium unicolor,
Chrysotus cockerellae,Zotu758,Arthropoda,Insecta,Diptera,Dolichopodidae,Chrysotus,Chrysotus cockerellae,
Coleoptera,Zotu253,Arthropoda,Insecta,Coleoptera,,,,
Coleoptera,Zotu657,Arthropoda,Insecta,Coleoptera,,,,
Coleoptera,Zotu673,Arthropoda,Insecta,Coleoptera,,,,
Coleoptera,Zotu989,Arthropoda,Insecta,Coleoptera,,,,
Coleoptera,Zotu1155,Arthropoda,Insecta,Coleoptera,,,,
Conocephalus saltator,Zotu1039,Arthropoda,Insecta,Orthoptera,Tettigoniidae,Conocephalus,Conocephalus saltator,
Conoderus pallipes,Zotu30,Arthropoda,Insecta,Coleoptera,Elateridae,Conoderus,Conoderus pallipes,
Dactylosternum abdominale,Zotu230,Arthropoda,Insecta,Coleoptera,Hydrophilidae,Dactylosternum,Dactylosternum abdominale,
Dasyhelea ludingensis,Zotu844,Arthropoda,Insecta,Diptera,Ceratopogonidae,Dasyhelea,Dasyhelea ludingensis,
Dermaptera,Zotu8,Arthropoda,Insecta,Dermaptera,,,,
Dermaptera,Zotu15,Arthropoda,Insecta,Dermaptera,,,,
Dermaptera,Zotu45,Arthropoda,Insecta,Dermaptera,,,,
Dermaptera,Zotu86,Arthropoda,Insecta,Dermaptera,,,,
Dermaptera,Zotu92,Arthropoda,Insecta,Dermaptera,,,,
Dermaptera,Zotu126,Arthropoda,Insecta,Dermaptera,,,,
Dermaptera,Zotu148,Arthropoda,Insecta,Dermaptera,,,,
Dermaptera,Zotu155,Arthropoda,Insecta,Dermaptera,,,,
Dermaptera,Zotu176,Arthropoda,Insecta,Dermaptera,,,,
Dermaptera,Zotu180,Arthropoda,Insecta,Dermaptera,,,,
Dermaptera,Zotu192,Arthropoda,Insecta,Dermaptera,,,,
Dermaptera,Zotu242,Arthropoda,Insecta,Dermaptera,,,,
Dermaptera,Zotu268,Arthropoda,Insecta,Dermaptera,,,,
Dermaptera,Zotu275,Arthropoda,Insecta,Dermaptera,,,,
Dermaptera,Zotu286,Arthropoda,Insecta,Dermaptera,,,,
Dermaptera,Zotu298,Arthropoda,Insecta,Dermaptera,,,,
Dermaptera,Zotu300,Arthropoda,Insecta,Dermaptera,,,,
Dermaptera,Zotu307,Arthropoda,Insecta,Dermaptera,,,,
Dermaptera,Zotu343,Arthropoda,Insecta,Dermaptera,,,,
Dermaptera,Zotu350,Arthropoda,Insecta,Dermaptera,,,,
Dermaptera,Zotu356,Arthropoda,Insecta,Dermaptera,,,,
Dermaptera,Zotu369,Arthropoda,Insecta,Dermaptera,,,,
Dermaptera,Zotu372,Arthropoda,Insecta,Dermaptera,,,,
Dermaptera,Zotu380,Arthropoda,Insecta,Dermaptera,,,,
Dermaptera,Zotu386,Arthropoda,Insecta,Dermaptera,,,,
Dermaptera,Zotu461,Arthropoda,Insecta,Dermaptera,,,,
Dermaptera,Zotu500,Arthropoda,Insecta,Dermaptera,,,,
Dermaptera,Zotu512,Arthropoda,Insecta,Dermaptera,,,,
Dermaptera,Zotu528,Arthropoda,Insecta,Dermaptera,,,,
Dermaptera,Zotu534,Arthropoda,Insecta,Dermaptera,,,,
Dermaptera,Zotu536,Arthropoda,Insecta,Dermaptera,,,,
Dermaptera,Zotu542,Arthropoda,Insecta,Dermaptera,,,,
Dermaptera,Zotu559,Arthropoda,Insecta,Dermaptera,,,,
Dermaptera,Zotu566,Arthropoda,Insecta,Dermaptera,,,,
Dermaptera,Zotu572,Arthropoda,Insecta,Dermaptera,,,,
Dermaptera,Zotu582,Arthropoda,Insecta,Dermaptera,,,,
Dermaptera,Zotu613,Arthropoda,Insecta,Dermaptera,,,,
Dermaptera,Zotu638,Arthropoda,Insecta,Dermaptera,,,,
Dermaptera,Zotu697,Arthropoda,Insecta,Dermaptera,,,,
Dermaptera,Zotu702,Arthropoda,Insecta,Dermaptera,,,,
