,node_id,original_name,node_level,network_id,taxonomy_id,created_at,updated_at,taxonomy.id,taxon_Kingdom,taxon_Class,taxon_Order,taxon_Family,taxonomy.name,taxonomy.ncbi,taxonomy.tsn,taxonomy.eol,taxonomy.bold,taxonomy.gbif,taxonomy.col,taxonomy.rank,taxonomy.created_at,taxonomy.updated_at,taxonomy
18,26194,carcass,taxon,1546,5515,2019-03-14T19:20:29.028Z,2019-03-14T19:20:29.028Z,5515,NA,,,,Leporidae,9979,50875,1689,1552,NA,7acccf49da3ce5959dd3f762928f9476,family,2019-03-01T16:05:30.224Z,2019-06-14T15:26:47.481Z,NA
19,26195,Sinea complexa,taxon,1546,6723,2019-03-14T19:20:29.059Z,2019-03-14T19:20:29.059Z,6723,Animalia,Insecta,Hemiptera,Reduviidae,Sinea complexa,NA,107357,609862,NA,2008692,841346d5ac4ae6e605b73c2480cea6d5,species,2019-03-14T19:20:06.747Z,2019-06-14T15:27:52.785Z,NA
20,26196,Nomia tetrazonata,taxon,1546,6724,2019-03-14T19:20:29.087Z,2019-03-14T19:20:29.087Z,6724,Animalia,Insecta,Hymenoptera,Halictidae,Nomia tetrazonata,178050,655888,289955,NA,5042291,27a84c25adf5109f647a26b77400ef24,species,2019-03-14T19:20:06.832Z,2019-06-14T15:27:52.844Z,NA
21,26199,Dialictus sp.,taxon,1546,2185,2019-03-14T19:20:29.213Z,2019-03-14T19:20:29.213Z,2185,Animalia,Insecta,Hymenoptera,Halictidae,Lasioglossum flavipes,88475,758442,2743614,123918,NA,f60fa8130608022a4c322328bee9def8,species,2019-02-21T22:19:48.870Z,2019-06-14T15:21:58.542Z,NA
22,26177,Dermestes vulpinus,taxon,1546,NA,2019-03-14T19:20:28.417Z,2019-03-14T19:20:28.417Z,NA,Animalia,Insecta,Coleoptera,Dermestidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,26179,Eleodes entricatus,taxon,1546,NA,2019-03-14T19:20:28.512Z,2019-03-14T19:20:28.512Z,NA,Animalia,Insecta,Coleoptera,Tenebrionidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,26180,Trox punctatus,taxon,1546,NA,2019-03-14T19:20:28.548Z,2019-03-14T19:20:28.548Z,NA,Animalia,Insecta,Coleoptera,Trogidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,26191,Goniochaeta plagiodes,taxon,1546,NA,2019-03-14T19:20:28.938Z,2019-03-14T19:20:28.938Z,NA,Animalia,Insecta,Diptera,Tachinidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,26197,Lasioglossum morilli,taxon,1546,NA,2019-03-14T19:20:29.117Z,2019-03-14T19:20:29.117Z,NA,Animalia,Insecta,Hymenoptera,Halictidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,26198,Dialictus microlepiodes,taxon,1546,NA,2019-03-14T19:20:29.156Z,2019-03-14T19:20:29.156Z,NA,Animalia,Insecta,Hymenoptera,Halictidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
