,node_id,original_name,node_level,network_id,taxonomy_id,created_at,updated_at,taxonomy.id,taxon_Kingdom,taxon_Class,taxon_Order,taxon_Family,taxonomy.name,taxonomy.ncbi,taxonomy.tsn,taxonomy.eol,taxonomy.bold,taxonomy.gbif,taxonomy.col,taxonomy.rank,taxonomy.created_at,taxonomy.updated_at,taxonomy
18,23924,Chrysotus sp.,taxon,1461,5565,2019-03-01T18:31:00.747Z,2019-03-01T18:31:00.747Z,5565,Animalia,Insecta,Diptera,Dolichopodidae,Chrysotus,377522,137325,54792,166692,NA,4b50f87709851f84053c903312815161,genus,2019-03-01T18:22:29.993Z,2019-06-14T15:26:50.115Z,NA
19,23926,Cyrtoneurina conspersa,taxon,1461,5554,2019-03-01T18:31:00.823Z,2019-03-01T18:31:00.823Z,5554,Animalia,Insecta,Diptera,Muscidae,Cyrtoneurina conspersa,NA,NA,760018,NA,1524062,1a0bca881ee94b6ee3ac17026c5d7f43,species,2019-03-01T18:22:27.848Z,2019-06-14T15:26:49.673Z,NA
20,23927,C. gemina,taxon,1461,5556,2019-03-01T18:31:00.857Z,2019-03-01T18:31:00.857Z,5556,Animalia,Insecta,Diptera,Muscidae,Cyrtoneurina gemina,NA,NA,760010,NA,1524073,e649aa1318bb5da91e9b09003c61bf50,species,2019-03-01T18:22:28.197Z,2019-06-14T15:26:49.783Z,NA
21,23928,Graphomyia sp.,taxon,1461,5567,2019-03-01T18:31:00.898Z,2019-03-01T18:31:00.898Z,5567,Animalia,Insecta,Diptera,Muscidae,Graphomya,1072499,150633,78701,261949,NA,9e0b565785bdf56ab1ad06bdbbfb840c,genus,2019-03-01T18:22:30.125Z,2019-06-14T15:26:50.169Z,NA
22,23929,Fannia sp. 1,taxon,1461,5557,2019-03-01T18:31:00.926Z,2019-03-01T18:31:00.926Z,5557,Animalia,Insecta,Diptera,Fanniidae,Fannia,95468,151329,54962,103869,NA,9fc4bf2b5d606a4a58d3c03062f5198a,genus,2019-03-01T18:22:28.473Z,2019-06-14T15:26:49.838Z,NA
23,23930,Fannia sp. 2,taxon,1461,5557,2019-03-01T18:31:00.953Z,2019-03-01T18:31:00.953Z,5557,Animalia,Insecta,Diptera,Fanniidae,Fannia,95468,151329,54962,103869,NA,9fc4bf2b5d606a4a58d3c03062f5198a,genus,2019-03-01T18:22:28.473Z,2019-06-14T15:26:49.838Z,NA
24,23931,Glyphidops flavifrons,taxon,1461,5568,2019-03-01T18:31:00.976Z,2019-03-01T18:31:00.976Z,5568,Animalia,Insecta,Diptera,Neriidae,Glyphidops flavifrons,NA,142104,734690,NA,1675627,423133af62b086b6703f63fa78d3cf3c,species,2019-03-01T18:22:30.209Z,2019-06-14T15:26:50.223Z,NA
25,23932,Euxesta (near annonae),taxon,1461,5569,2019-03-01T18:31:01.010Z,2019-03-01T18:31:01.010Z,5569,Animalia,Insecta,Diptera,Ulidiidae,Euxesta,286468,120200,54559,470669,NA,aae8e3cd64efd8c4632c59c129b58cc8,genus,2019-03-01T18:22:30.272Z,2019-06-14T15:26:50.278Z,NA
26,23933,Megaselia sp. 1,taxon,1461,2007,2019-03-01T18:31:01.074Z,2019-03-01T18:31:01.074Z,2007,Animalia,Insecta,Diptera,Phoridae,Megaselia,36165,139191,54927,365800,NA,8bba2a435e39bbad632fa6e63e029975,genus,2019-02-21T22:18:13.235Z,2019-06-14T15:21:48.974Z,NA
27,23934,Megaselia sp. 7,taxon,1461,2007,2019-03-01T18:31:01.104Z,2019-03-01T18:31:01.104Z,2007,Animalia,Insecta,Diptera,Phoridae,Megaselia,36165,139191,54927,365800,NA,8bba2a435e39bbad632fa6e63e029975,genus,2019-02-21T22:18:13.235Z,2019-06-14T15:21:48.974Z,NA
28,23935,Epiplatea hondurana,taxon,1461,5570,2019-03-01T18:31:01.142Z,2019-03-01T18:31:01.142Z,5570,Animalia,Insecta,Diptera,Richardiidae,Epiplatea hondurana,NA,NA,757925,NA,1620512,051a9489e9788eae0830145b486017d5,species,2019-03-01T18:22:30.347Z,2019-06-14T15:26:50.330Z,NA
29,23936,Leptocera sp. 2,taxon,1461,5571,2019-03-01T18:31:01.176Z,2019-03-01T18:31:01.176Z,5571,Animalia,Insecta,Diptera,Sphaeroceridae,Leptocera,1614654,145872,4788838,237262,NA,4d0e62810cf6e43e2c0a606a4d5a25db,genus,2019-03-01T18:22:30.423Z,2019-06-14T15:26:50.386Z,NA
30,23937,Leptocera sp. 3,taxon,1461,5571,2019-03-01T18:31:01.205Z,2019-03-01T18:31:01.205Z,5571,Animalia,Insecta,Diptera,Sphaeroceridae,Leptocera,1614654,145872,4788838,237262,NA,4d0e62810cf6e43e2c0a606a4d5a25db,genus,2019-03-01T18:22:30.423Z,2019-06-14T15:26:50.386Z,NA
31,23938,Sphaerocera sp. 1,taxon,1461,5572,2019-03-01T18:31:01.280Z,2019-03-01T18:31:01.280Z,5572,Animalia,Insecta,Diptera,Sphaeroceridae,Sphaerocera,219360,145786,54535,2286,NA,528efe64da39f5ba00cc1651b0dc8bd1,genus,2019-03-01T18:22:30.470Z,2019-06-14T15:26:50.440Z,NA
32,23939,Sphaerocera sp. 2,taxon,1461,5572,2019-03-01T18:31:01.316Z,2019-03-01T18:31:01.316Z,5572,Animalia,Insecta,Diptera,Sphaeroceridae,Sphaerocera,219360,145786,54535,2286,NA,528efe64da39f5ba00cc1651b0dc8bd1,genus,2019-03-01T18:22:30.470Z,2019-06-14T15:26:50.440Z,NA
33,23940,staphylinid sp. 1,taxon,1461,5573,2019-03-01T18:31:01.376Z,2019-03-01T18:31:01.376Z,5573,Animalia,Insecta,Coleoptera,Staphylinidae,Staphylinidae,29026,113265,8620,831,NA,67638acffae8f587c90c8c40dd684e60,family,2019-03-01T18:22:30.523Z,2019-06-14T15:26:50.493Z,NA
34,23941,staphylinid sp. 6,taxon,1461,5573,2019-03-01T18:31:01.403Z,2019-03-01T18:31:01.403Z,5573,Animalia,Insecta,Coleoptera,Staphylinidae,Staphylinidae,29026,113265,8620,831,NA,67638acffae8f587c90c8c40dd684e60,family,2019-03-01T18:22:30.523Z,2019-06-14T15:26:50.493Z,NA
35,23942,staphylinid sp. 7,taxon,1461,5573,2019-03-01T18:31:01.439Z,2019-03-01T18:31:01.439Z,5573,Animalia,Insecta,Coleoptera,Staphylinidae,Staphylinidae,29026,113265,8620,831,NA,67638acffae8f587c90c8c40dd684e60,family,2019-03-01T18:22:30.523Z,2019-06-14T15:26:50.493Z,NA
36,23943,staphylinid sp. 10,taxon,1461,5573,2019-03-01T18:31:01.470Z,2019-03-01T18:31:01.470Z,5573,Animalia,Insecta,Coleoptera,Staphylinidae,Staphylinidae,29026,113265,8620,831,NA,67638acffae8f587c90c8c40dd684e60,family,2019-03-01T18:22:30.523Z,2019-06-14T15:26:50.493Z,NA
37,23944,Camponotus abdominalis,taxon,1461,5574,2019-03-01T18:31:01.504Z,2019-03-01T18:31:01.504Z,5574,Animalia,Insecta,Hymenoptera,Formicidae,Camponotus atriceps,104420,575644,468489,173025,5033125,aabe63a7bbaa9768e9cd22a7239a23bb,species,2019-03-01T18:22:30.567Z,2019-06-14T15:26:50.547Z,NA
38,23945,Monomorium carbonarium,taxon,1461,5544,2019-03-01T18:31:01.541Z,2019-03-01T18:31:01.541Z,5544,Animalia,Insecta,Hymenoptera,Formicidae,Monomorium carbonarium,NA,580061,52427992,NA,1314429,553181139b329cf5a83443f9750cffb6,species,2019-03-01T18:22:26.602Z,2019-06-14T15:26:49.224Z,NA
39,23946,Solenopsis geminata,taxon,1461,5575,2019-03-01T18:31:01.708Z,2019-03-01T18:31:01.708Z,5575,Animalia,Insecta,Hymenoptera,Formicidae,Solenopsis geminata,121131,154238,599618,52694,5035187,f9f97387ed2ef207b9c54efc3cc20889,species,2019-03-01T18:22:30.615Z,2019-06-14T15:26:50.602Z,NA
40,23947,Pachycondyla sp.,taxon,1461,5576,2019-03-01T18:31:01.739Z,2019-03-01T18:31:01.739Z,5576,Animalia,Insecta,Hymenoptera,Formicidae,Pachycondyla,118887,139155,33007,1983,NA,c397704d919e28ccd8294d22464ac58f,genus,2019-03-01T18:22:30.676Z,2019-06-14T15:26:50.657Z,NA
41,23948,saurians (unspec.),taxon,1461,5577,2019-03-01T18:31:01.777Z,2019-03-01T18:31:01.777Z,5577,Plantae,,,,Eritrichium akkolium,32561,NA,31100537,NA,NA,9bbab1d3531c12f2224212fb92261f05,species,2019-03-01T18:22:30.730Z,2019-06-14T15:26:50.710Z,NA
42,23903,toad carrion,taxon,1461,NA,2019-03-01T18:30:59.960Z,2019-03-01T18:30:59.960Z,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,23916,Anaides sp. (near plana),taxon,1461,NA,2019-03-01T18:31:00.469Z,2019-03-01T18:31:00.469Z,NA,Animalia,Insecta,Coleoptera,Hybosoridae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,23917,Coilodes castanea,taxon,1461,NA,2019-03-01T18:31:00.495Z,2019-03-01T18:31:00.495Z,NA,Animalia,Insecta,Coleoptera,Hybosoridae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,23920,E. caludicans,taxon,1461,NA,2019-03-01T18:31:00.607Z,2019-03-01T18:31:00.607Z,NA,Animalia,Insecta,Hymenoptera,Formicidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,23925,Phocoscelus arthriticus,taxon,1461,NA,2019-03-01T18:31:00.792Z,2019-03-01T18:31:00.792Z,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
