"","Order","Family","Genus","Species","Length_mm","Mass_mg","Source","Class","Species_Name","Phylum.x","Class.x","Order.x","Family.x","Genus.x","specific_epithet.x","Phylum.y","Class.y","Order.y","Family.y","Genus.y","specific_epithet.y"
"667","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",16.52,230,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"668","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",17.41,230,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"669","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",13.98,230,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"670","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",13.46,230,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"671","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",12.4,230,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"672","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",13.5,230,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"673","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",14.6,230,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"674","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",13,230,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"675","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",14.2,230,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"676","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",14.1,230,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"677","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",13.4,230,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"678","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",17,230.58,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"679","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",17.1,233.95,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"680","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",18.2,239.7,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"681","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",16.7,240,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"682","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",16,240,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"683","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",15.3,240,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"684","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",15.7,240,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"685","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",14.2,240,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"686","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",16.25,240,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"687","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",17.21,240,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"688","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",18.17,240,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"689","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",18.69,240,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"690","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",19.3,240,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"691","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",14.4,240,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"692","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",13,240,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"693","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",11.6,240,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"694","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",NA,240,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"695","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",13.2,240,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"696","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",14.1,240,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"697","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",18.4,241.42,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"698","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",20.4,247.17,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"699","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",17.6,249.92,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"700","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",16.1,250,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"701","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",16,250,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"702","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",17.72,250,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"703","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",18.77,250,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"704","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",13.76,250,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"705","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",14.03,250,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"706","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",14.6,250,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"707","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",14,250,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"708","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",17.9,253.26,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"709","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",13,256,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"710","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",23,258.84,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"711","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",18.8,259.2,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"712","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",15.9,260,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"713","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",15.7,260,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"714","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",16.1,260,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"715","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",19.16,260,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"716","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",18.14,260,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"717","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",16.9,260,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"718","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",11.64,260,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"719","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",21.2,260,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"720","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",14.4,260,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"721","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",14.1,260,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"722","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",14.7,260,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"723","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",16.6,270,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"724","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",15.5,270,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"725","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",16.8,270,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"726","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",17.3,270,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"727","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",15.9,270,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"728","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",19.3,270,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"729","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",18.83,270,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"730","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",16.89,270,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"731","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",20.99,270,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"732","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",16.66,270,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"733","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",18.34,270,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"734","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",18.88,270,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"735","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",12,270,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"736","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",14.11,270,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"737","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",15,270,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"738","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",12.7,270,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"739","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",15.6,270,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"740","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",17.3,272.62,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"741","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",20.9,276.33,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"742","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",16,280,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"743","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",16,280,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"744","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",16.6,280,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"745","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",17.76,280,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"746","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",20.47,280,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"747","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",NA,280,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"748","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",10.8,280,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"749","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",14.05,280,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"750","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",14.26,280,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"751","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",13,280,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"752","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",13.98,280,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"753","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",14.9,280,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"754","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",14,280,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"755","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",15.7,280,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"756","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",14,280,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"757","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",17.3,283.39,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"758","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",17.7,290,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"759","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",17.6,290,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"760","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",15.8,290,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"761","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",21.39,290,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"762","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",17.85,290,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"763","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",18.24,290,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"764","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",15.91,290,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"765","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",13.4,290,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"766","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",13.74,290,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"767","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",14.14,290,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"768","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",14.47,290,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"769","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",14.97,290,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"770","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",14,290,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"771","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",15.3,290,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"772","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",13.2,290,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"773","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",13.8,290,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"774","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",21.3,291.39,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"775","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",17.4,300,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"776","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",16.8,300,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"777","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",18.3,300,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"778","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",16.75,300,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"779","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",20.97,300,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"780","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",18.86,300,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"781","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",20.59,300,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"782","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",18.42,300,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"783","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",6,300,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"784","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",14.05,300,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"785","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",14.31,300,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"786","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",14.22,300,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"787","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",15.24,300,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"788","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",13.79,300,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"789","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",13.61,300,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"790","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",14.2,300,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"791","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",19.5,304.63,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"792","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",18.3,310,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"793","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",18.9,310,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"794","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",17.9,310,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"795","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",20.75,310,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"796","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",19.35,310,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"797","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",17.28,310,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"798","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",9,310,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"799","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",15.9,310,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"800","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",15.4,310,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"801","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",15.1,310,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"802","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",21,313.85,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"803","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",19.1,316.25,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"804","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",19.9,316.69,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"805","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",17.3,320,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"806","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",17.1,320,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"807","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",20.8,320,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"808","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",19.93,320,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"809","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",18.62,320,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"810","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",14.55,320,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"811","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",NA,320,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"812","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",15.37,320,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"813","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",14.9,320,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"814","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",15.1,320,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"815","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",14.2,320,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"816","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",17.3,320,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"817","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",15.4,320,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
