Plot_Id;Agromyzidae;Anthomyiidae;Aphididae;Apidae;Braconidae;Calliphoridae;Canacidae;Cecidomyiidae;Ceratopogonidae;Chironomidae;Collembola;Crambidae;Culicidae;Empididae;Enchytraeidae;Erebidae;Eulophidae;Fanniidae;Geometridae;Heleomyzidae;Hemiptera;Ichneumonidae;Limoniidae;Liposcelidae;Lycaenidae;Lycosidae;Lygaeidae;Mesostigmata;Muscidae;Mycetophilidae;Noctuidae;Nymphalidae;Oribatida;other Araneae;Phoridae;Pieridae;Piophilidae;Prostigmata;Pteromalidae;Scathophagidae;Sciaridae;Syrphidae;Tachinidae;Tenthredinidae;Thomisidae;Tipulidae;Tortricidae;Trichoceridae
A_t2;0;1;0;0;1;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;1;1;0;1;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0
A_t3;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;1;1;0;1;1;0;1;0;0;0;1;0;0;1;0;0;0;1;1;0;0
A_t4;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;1;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0
B_t2;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;1;0;0;0;1;0;1;1;1;0;1;0;1;1;0;0;1;0;0;0;0;0;0;1;0;0;0
B_t3;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;0;1;1;0;1;1;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0
B_t4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;1;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0
C_t2;0;0;0;1;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;1;1;0;1;0;1;1;0;0;1;0;0;1;0;1;0;1;0;0;0
C_t3;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;1;0;1;1;0;1;1;1;1;1;0;0;1;0;0;1;0;1;0;1;0;0;0
C_t4;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;1;0;1;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0
D_t2;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;1;1;0;0;1;0;0;1;0;0;1;0;1;0;1;0;0;0
D_t3;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;1;0;1;1;0;1;1;0;0;1;0;0;1;0;1;0;1;0;0;0
D_t4;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;1;1;1;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0
DX_t2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;1;0;1;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0
DX_t3;1;0;0;0;0;1;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;1;1;0;1;1;0;1;0;0;0;1;0;0;1;0;1;0;0;0;0;0
DX_t4;0;0;0;0;0;1;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;1;1;1;1;0;1;1;0;0;1;0;0;1;0;1;0;0;0;0;0
E_t2;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;1;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;1;0;0
E_t3;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;1;0;1;1;0;0;1;0;0;1;0;0;1;0;1;0;1;0;0;0
E_t4;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;1;0;1;0;1;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0
F_t2;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;1;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0
F_t3;0;0;0;1;1;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;1;1;1;1;1;1;1;1;0;0;1;0;0;0;0;0;0;1;0;0;0
F_t4;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;1;1;0;1;0;0;0;1;0;0;1;1;1;0;0;0;0;0
G_t2;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;1;1;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0
G_t3;0;0;0;0;0;1;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;1;1;1;1;1;1;1;1;0;0;1;0;0;1;0;1;0;1;0;0;0
