Plot_Id;grid zone;UTM_E;UTM_N;Elevation;TempAir;TempSoil;HumidRel;Veg.mass;VegCover.dryas;Soil.water
A_t1;27X;512228;8270077;160;13.23350694;15.625;62.08333333;4.025;0.333535859;31.96721311
A_t2;27X;512228;8270077;160;9.094494048;11.95238095;71.14955357;4.025;0.333535859;31.96721311
A_t3;27X;512228;8270077;160;13.09449405;13.96428571;58.58630952;4.025;0.333535859;31.96721311
A_t4;27X;512228;8270077;160;6.326636905;9.452380952;79.25744048;4.025;0.333535859;31.96721311
B_t1;27X;512670;8270545;240;14.18489583;15.72222222;53.87586806;5.82;0.57267862;11.78861789
B_t2;27X;512670;8270545;240;9.568452381;11.80952381;64.94642857;5.82;0.57267862;11.78861789
B_t3;27X;512670;8270545;240;13.54613095;14.46428571;52.69047619;5.82;0.57267862;11.78861789
B_t4;27X;512670;8270545;240;6.226934524;9.726190476;77.08035714;5.82;0.57267862;11.78861789
C_t1;27X;513026;8270761;315;15.63888889;NA;47.03993056;5.095;0.548554213;4.420257663
C_t2;27X;513026;8270761;315;10.25892857;NA;60.68229167;5.095;0.548554213;4.420257663
C_t3;27X;513026;8270761;315;13.60639881;NA;50.6889881;5.095;0.548554213;4.420257663
C_t4;27X;513026;8270761;315;6.51860119;NA;74.18526786;5.095;0.548554213;4.420257663
D_t1;27X;513435;8271040;407;15.86371528;15.38888889;45.69704861;3.94;0.664932395;7.669881139
D_t2;27X;513435;8271040;407;10.56696429;11.58333333;60.34077381;3.94;0.664932395;7.669881139
D_t3;27X;513435;8271040;407;13.41517857;13.13095238;50.51488095;3.94;0.664932395;7.669881139
D_t4;27X;513435;8271040;407;7.001488095;9.297619048;73.8921131;3.94;0.664932395;7.669881139
DX_t1;27X;514053;8271205;504;NA;NA;NA;1.23;0.167691154;5.115146147
DX_t2;27X;514053;8271205;504;NA;NA;NA;1.23;0.167691154;5.115146147
DX_t3;27X;514053;8271205;504;NA;NA;NA;1.23;0.167691154;5.115146147
DX_t4;27X;514053;8271205;504;NA;NA;NA;1.23;0.167691154;5.115146147
E_t1;27X;513786;8268128;177;12.10416667;12.47222222;64.43055556;2.87;0.467583833;23.49582784
E_t2;27X;513786;8268128;177;9.364583333;11.01041667;70.10481771;2.87;0.467583833;23.49582784
E_t3;27X;513786;8268128;177;11.52951389;12.88888889;62.92534722;2.87;0.467583833;23.49582784
E_t4;27X;513786;8268128;177;5.778125;9.65;81.396875;2.87;0.467583833;23.49582784
F_t1;27X;514355;8268470;249;15.54166667;12.75;51.90494792;4.13;0.642825449;12.98672068
F_t2;27X;514355;8268470;249;10.40559896;11.01041667;63.06184896;4.13;0.642825449;12.98672068
F_t3;27X;514355;8268470;249;12.4077381;11.70238095;59.77232143;4.13;0.642825449;12.98672068
F_t4;27X;514355;8268470;249;6.019791667;8.65;78.06875;4.13;0.642825449;12.98672068
G_t1;27X;514988;8268842;350;16.6640625;12.54166667;44.17578125;6.2;0.483754526;12.02359347
G_t2;27X;514988;8268842;350;10.11383929;10.5952381;62.41220238;6.2;0.483754526;12.02359347
G_t3;27X;514988;8268842;350;12.35706019;11.84259259;55.13425926;6.2;0.483754526;12.02359347
G_t4;27X;514988;8268842;350;6.411458333;9;75.78333333;6.2;0.483754526;12.02359347
H_t1;27X;515521;8269098;451;17.11067708;15.54166667;43.22005208;4.4;0.409505142;14.77247254
H_t2;27X;515521;8269098;451;10.80505952;13.16666667;60.57217262;4.4;0.409505142;14.77247254
H_t3;27X;515521;8269098;451;12.91724537;14.11111111;53.66377315;4.4;0.409505142;14.77247254
H_t4;27X;515521;8269098;451;7.269791667;10.7;73.228125;4.4;0.409505142;14.77247254
I_t1;27X;515557;8267380;266;14.375;12.3125;59.88541667;3.42;0.404313978;19.23580786
I_t2;27X;515557;8267380;266;9.758463542;10.54166667;69.86979167;3.42;0.404313978;19.23580786
I_t3;27X;515557;8267380;266;12.07738095;12.23809524;64.671875;3.42;0.404313978;19.23580786
I_t4;27X;515557;8267380;266;7.664434524;10.27380952;72.67485119;3.42;0.404313978;19.23580786
IX_t1;27X;515278;8266804;170;NA;NA;NA;4.58;0.033571156;32.90636042
IX_t2;27X;515278;8266804;170;NA;NA;NA;4.58;0.033571156;32.90636042
IX_t3;27X;515278;8266804;170;NA;NA;NA;4.58;0.033571156;32.90636042
IX_t4;27X;515278;8266804;170;NA;NA;NA;4.58;0.033571156;32.90636042
J_t1;27X;515990;8267984;373;15.11979167;12.5;58.6953125;5.36;0.139947331;57.85917496
J_t2;27X;515990;8267984;373;10.49479167;12.29761905;69.91964286;5.36;0.139947331;57.85917496
J_t3;27X;515990;8267984;373;12.47544643;12.23809524;67.95535714;5.36;0.139947331;57.85917496
J_t4;27X;515990;8267984;373;7.191964286;9.083333333;78.66145833;5.36;0.139947331;57.85917496
K_t1;27X;516339;8268571;482;16.2421875;12.70833333;51.22395833;3.82;0.008255485;24.29865253
K_t2;27X;516339;8268571;482;10.75297619;11.25;65.06175595;3.82;0.008255485;24.29865253
K_t3;27X;516339;8268571;482;13.02529762;12.33333333;61.68229167;3.82;0.008255485;24.29865253
K_t4;27X;516339;8268571;482;7.50297619;9.464285714;73.94419643;3.82;0.008255485;24.29865253
L_t1;27X;516513;8268911;584;15.74869792;14.08333333;44.36328125;4.79;0.517529946;13.42312009
L_t2;27X;516513;8268911;584;10.51860119;11.8452381;59.828125;4.79;0.517529946;13.42312009
L_t3;27X;516513;8268911;584;12.77232143;13.19047619;55.56845238;4.79;0.517529946;13.42312009
L_t4;27X;516513;8268911;584;7.579613095;9.5;69.90997024;4.79;0.517529946;13.42312009
LX_t1;27X;516156;8269198;586;NA;NA;NA;1.095;0;5.074893807
LX_t2;27X;516156;8269198;586;NA;NA;NA;1.095;0;5.074893807
LX_t3;27X;516156;8269198;586;NA;NA;NA;1.095;0;5.074893807
LX_t4;27X;516156;8269198;586;NA;NA;NA;1.095;0;5.074893807
P_t1;27X;512959;8265951;63;11.72482639;8.402777778;62.890625;3.115;0.211471837;20.83795167
P_t2;27X;512959;8265951;63;8.636904762;6.988095238;71.28794643;3.115;0.211471837;20.83795167
P_t3;27X;512959;8265951;63;12.81324405;9.047619048;59.69345238;3.115;0.211471837;20.83795167
P_t4;27X;512959;8265951;63;7.014880952;7.345238095;77.14806548;3.115;0.211471837;20.83795167
R_t1;27X;511912;8263836;19;8.854166667;9.611111111;72.32118056;4.84;0.004875361;NA
R_t2;27X;511912;8263836;19;9.270833333;9.952380952;71.29761905;4.84;0.004875361;NA
R_t3;27X;511912;8263836;19;10.34449405;10.20238095;70.56994048;4.84;0.004875361;NA
R_t4;27X;511912;8263836;19;8.888392857;9.226190476;69.72544643;4.84;0.004875361;NA
S_t1;27X;512496;8264073;26;9.685763889;10.77777778;67.30381944;1.17;0.488566138;NA
S_t2;27X;512496;8264073;26;10.08184524;10.98809524;66.13690476;1.17;0.488566138;NA
S_t3;27X;512496;8264073;26;11.07440476;11.6547619;64.80580357;1.17;0.488566138;NA
S_t4;27X;512496;8264073;26;9.264880952;10.64285714;65.60416667;1.17;0.488566138;NA
