"","node_id","original_name","node_level","network_id","taxonomy_id","created_at","updated_at","taxonomy.id","taxonomy.name","taxonomy.ncbi","taxonomy.tsn","taxonomy.eol","taxonomy.bold","taxonomy.gbif","taxonomy.col","taxonomy.rank","taxonomy.created_at","taxonomy.updated_at","taxonomy"
"1",25271,"Olla V-nigrum","taxon",1510,6307,"2019-03-07T17:18:26.550Z","2019-03-07T17:18:26.550Z",6307,"Olla v-nigrum",245892,187031,1175138,372643,NA,"4c77bac57e997fc5e85ae3d1dde03bd1","species","2019-03-07T17:18:08.092Z","2019-06-14T15:27:29.844Z",NA
"2",25272,"Cyathissa percara","taxon",1510,6308,"2019-03-07T17:18:26.594Z","2019-03-07T17:18:26.594Z",6308,"Cyathissa percara",NA,NA,524216,NA,1792174,"4fada0dd9ccb1f5126d403036b4d5417","species","2019-03-07T17:18:08.150Z","2019-06-14T15:27:29.933Z",NA
"3",25273,"Phoradendron tomentosum","taxon",1510,6309,"2019-03-07T17:18:26.636Z","2019-03-07T17:18:26.636Z",6309,"Phoradendron leucarpum",3970,NA,47128029,599777,2889887,"4f4cc8e34624d39271df1482ec8e7c08","species","2019-03-07T17:18:08.309Z","2019-06-14T15:27:29.986Z",NA
"4",25274,"aphids (unspecified)","taxon",1510,6310,"2019-03-07T17:18:26.694Z","2019-03-07T17:18:26.694Z",6310,"Aphidoidea",33385,109190,551,NA,NA,"18077ad083fa523f8c41554829a7993b","superfamily","2019-03-07T17:18:08.763Z","2019-06-14T15:27:30.040Z",NA
"5",25275,"Prosopis juliflora","taxon",1510,2806,"2019-03-07T17:18:26.731Z","2019-03-07T17:18:26.731Z",2806,"Prosopis juliflora",13230,565434,643004,315073,5358460,"7936195871174deff4106b7f0a144180","species","2019-02-22T00:30:33.381Z","2019-06-14T15:22:32.631Z",NA
"6",25276,"Atlides halesus","taxon",1510,6311,"2019-03-07T17:18:26.772Z","2019-03-07T17:18:26.772Z",6311,"Atlides halesus",NA,777807,46793511,85364,1923505,"340228d12181a5d753625a6381698335","species","2019-03-07T17:18:08.936Z","2019-06-14T15:27:30.095Z",NA
"7",25277,"Tacoma feriella","taxon",1510,6312,"2019-03-07T17:18:26.806Z","2019-03-07T17:18:26.806Z",6312,"Tacoma feriella",NA,NA,961467,558564,1873585,"697b2dad659fb93ac3972f44ae7dad1e","species","2019-03-07T17:18:09.123Z","2019-06-14T15:27:30.453Z",NA
"8",25278,"Crematogaster laeviuscula","taxon",1510,6313,"2019-03-07T17:18:26.840Z","2019-03-07T17:18:26.840Z",6313,"Crematogaster laeviuscula",2421437,579080,408102,68544,1324376,"f768aad463009f86fef9d855c2853dcf","species","2019-03-07T17:18:09.413Z","2019-06-14T15:27:30.508Z",NA
"9",25279,"Chrysopis sp.","taxon",1510,6314,"2019-03-07T17:18:26.872Z","2019-03-07T17:18:26.872Z",6314,"Chrysopsis",72912,36858,38411,759448,NA,"68a7d38575649c48514fcb362921272e","genus","2019-03-07T17:18:09.468Z","2019-06-14T15:27:30.562Z",NA
"10",25280,"Oecanthus niveus","taxon",1510,6315,"2019-03-07T17:18:26.912Z","2019-03-07T17:18:26.912Z",6315,"Oecanthus niveus",1425302,658611,502877,345151,1720916,"3c83273c3c58cf1c783923da306f0fd5","species","2019-03-07T17:18:09.518Z","2019-06-14T15:27:30.617Z",NA
