Order,Suborder,Family,Live body mass (mg),Body length (mm),Body width (mm),Geographic Region,Groups for Table S1,Analysis
araneae,labidognatha,agelenidae,34.22,7.28,3.21,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,agelenidae,2.36,2.14,0.92,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,agelenidae,5.53,3.89,1.57,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,agelenidae,12.48,4.83,1.95,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,agelenidae,17.67,5.96,2.33,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,agelenidae,18.1,2.4,0.92,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,agelenidae,2.95,3.31,1.23,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,agelenidae,1.78,2.63,0.96,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,agelenidae,2.96,3.05,1.11,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,agelenidae,17.69,6.11,2.22,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,agelenidae,3.66,3.28,1.19,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,agelenidae,2.79,4.1,1.48,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,agelenidae,4.65,3.44,1.22,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,agelenidae,20.69,6.19,2.18,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,agelenidae,2.5,2.97,1.05,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,agelenidae,1.84,2.64,0.93,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,agelenidae,3.16,3.15,1.11,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,agelenidae,4.47,3.6,1.25,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,agelenidae,19.69,6.2,2.14,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,agelenidae,4.16,3.55,1.22,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,agelenidae,2.73,3.02,1.03,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,agelenidae,18.69,6.22,2.11,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,agelenidae,3.15,3.14,1.07,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,agelenidae,22.3,6.74,2.28,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,agelenidae,19.19,6.72,2.26,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,agelenidae,76.11,9.79,3.19,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,agelenidae,7.18,4.33,1.41,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,agelenidae,3.14,3.24,1.05,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,agelenidae,48.19,8.59,2.7,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,agelenidae,17.47,5.94,1.85,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,agelenidae,26.98,6.99,2.17,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,agelenidae,38.28,8.3,2.48,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,agelenidae,33.03,7.98,2.37,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,amaurobiidae,16.98,5.32,2.15,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,amaurobiidae,57.66,9.07,3.49,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,amaurobiidae,22.44,6.62,2.41,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,amaurobiidae,29.14,7.55,2.73,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,amaurobiidae,6.62,2.82,0.99,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,amaurobiidae,60.59,9.17,3.12,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,amaurobiidae,13.54,5.9,2,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,amaurobiidae,51.04,8.71,2.95,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,amaurobiidae,33.73,7.19,2.42,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,amaurobiidae,28.53,7.65,2.56,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,amaurobiidae,15.7,5.67,1.89,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,amaurobiidae,11.68,5.89,1.95,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,amaurobiidae,15.79,6,1.98,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,amaurobiidae,123.28,12.26,4.02,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,amaurobiidae,54.36,9.62,3.14,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,amaurobiidae,21.44,6.31,2.06,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,amaurobiidae,24.43,6.76,2.2,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,amaurobiidae,5.81,4.23,1.38,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,amaurobiidae,34.71,7.11,2.31,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,amaurobiidae,66.7,10.03,3.2,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,amaurobiidae,63.16,9.37,2.96,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,amaurobiidae,46.15,8.99,2.82,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,amaurobiidae,49.49,9.49,2.75,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,amaurobiidae,18.64,6.32,1.8,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,anapidae,8.82,4.01,2.44,tropical,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,anyphaenidae,1.2,2.27,0.93,temperate,Araneae (hunting),Main Analysis and Supporting Information
araneae,labidognatha,anyphaenidae,0.87,2.05,0.75,temperate,Araneae (hunting),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,8.71,3.46,3.66,tropical,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,16.17,4.14,4.29,tropical,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,5.47,2.76,2.67,tropical,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,51.86,6.04,5.68,tropical,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,4.57,2.74,2.55,tropical,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,1.26,1.92,1.59,tropical,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,0.69,1.63,1.29,tropical,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,0.34,1.16,0.9,tropical,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,0.37,1.34,1.02,tropical,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,0.26,1.27,0.95,tropical,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,7.45,3.14,2.31,tropical,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,109.21,8.55,5.97,tropical,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,4.85,2.93,2.01,tropical,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,118.21,10.24,6.95,tropical,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,25.03,5.35,3.62,tropical,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,35.13,5.41,3.63,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,54.33,5.97,4,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,55.52,6.31,4.2,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,1.87,2.2,1.46,tropical,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,29.56,5.56,3.68,tropical,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,12.79,4.09,2.7,tropical,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,40.27,5.69,3.6,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,42.75,5.94,3.76,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,25.62,5.05,3.17,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,1.64,2.27,1.43,tropical,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,16.42,4.67,2.91,tropical,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,15.83,4.44,2.74,tropical,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,36.59,5.57,3.41,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,2.18,2.42,1.48,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,212.78,10.13,6.12,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,1.06,1.73,1.04,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,3.36,2.85,1.69,tropical,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,1.34,2.05,1.2,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,2.14,2.25,1.31,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,0.47,1.54,0.89,tropical,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,34.23,5.62,3.25,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,30.43,5.42,3.12,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,18.04,4.69,2.7,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,19.04,4.76,2.74,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,39.88,6.24,3.58,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,11.92,3.81,2.17,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,20.65,4.77,2.68,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,33.56,6.49,3.62,tropical,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,9.04,3.53,1.97,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,1.09,2.04,1.13,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,90.18,8.59,4.74,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,30.26,5.39,2.95,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,24.73,5.33,2.88,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,25.1,5.26,2.84,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,7.5,3.74,2.01,tropical,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,11.34,2.34,1.24,tropical,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,5.8,3.73,1.97,tropical,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,18.99,4.95,2.61,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,2.23,2.48,1.3,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,1.2,1.87,0.98,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,12.1,4.66,2.43,tropical,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,12.22,4.39,2.28,tropical,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,13.41,4.97,2.53,tropical,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,0.91,1.81,0.92,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,3.82,3.15,1.6,tropical,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,0.9,1.81,0.91,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,2.76,2.73,1.36,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,24.79,5.6,2.78,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,1.88,2.02,1,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,3.04,2.21,1.09,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,8.68,3.81,1.88,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,10.87,4.36,2.12,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,2.89,2.52,1.23,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,1.64,1.92,0.93,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,5.31,3.3,1.6,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,17,4.9,2.38,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,6.48,3.69,1.78,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,0.72,1.68,0.81,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,0.59,1.67,0.8,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,16.34,5.26,2.49,tropical,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,13.54,4.69,2.22,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,0.61,1.7,0.81,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,10.99,4.27,2.02,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,2.58,2.73,1.29,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,0.86,1.78,0.83,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,3.49,3.02,1.42,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,0.7,1.63,0.76,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,18.29,5,2.33,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,0.57,1.36,0.63,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,5.58,3.76,1.74,tropical,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,2.01,2.37,1.09,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,9.98,4.15,1.9,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,45.32,7,3.2,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,3.18,2.93,1.33,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,1.41,2.17,0.98,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,2.18,2.65,1.2,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,2.24,2.59,1.17,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,59.09,7.59,3.42,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,1.56,2.08,0.94,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,1.75,2.5,1.12,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,3.48,3.06,1.37,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,1.91,2.75,1.23,tropical,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,17.56,5.25,2.34,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,5.85,3.42,1.52,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,2.04,2.76,1.22,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,1.82,2.28,1,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,1.76,2.2,0.97,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,1.91,2.6,1.14,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,0.25,1.44,0.63,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,41.66,6.6,2.87,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,0.6,1.71,0.74,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,4.41,3.09,1.33,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,1.56,2.33,1,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,17.49,4.96,2.13,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,1.87,2.08,0.89,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,14.4,4.59,1.96,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,36.95,7.88,3.36,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,1.5,2.54,1.08,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,5.14,3.6,1.53,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,1.37,2.01,0.85,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,1.46,2.52,1.07,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,7.27,4.07,1.71,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,13.5,4.35,1.83,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,0.46,1.5,0.63,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,2.82,2.97,1.24,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,1.7,2.5,1.04,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,34.24,6.29,2.6,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,0.88,1.9,0.79,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,0.97,2.01,0.82,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,2.68,3.14,1.28,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,18.9,5.67,2.3,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,21.21,6.29,2.54,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,1.44,2.22,0.9,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,0.7,1.71,0.69,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,82.68,9.75,3.91,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,15.04,5.4,2.16,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,1.71,2.34,0.93,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,14.55,4.86,1.93,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,5.23,3.35,1.32,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,5.87,3.73,1.47,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,0.95,1.83,0.72,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,5.76,3.67,1.44,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,1.31,2.25,0.87,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,0.8,1.77,0.69,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,10.1,4.37,1.68,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,1.62,2.72,1.03,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,2.91,3.11,1.18,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,19.64,5.71,2.15,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,1.15,2.24,0.84,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,4.98,3.55,1.33,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,1.94,2.67,1,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,1.56,2.54,0.94,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,12.66,4.98,1.82,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,1.35,2.38,0.87,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,1.39,2.32,0.84,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,0.97,2.69,0.97,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,1.72,2.53,0.91,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,6.34,4.1,1.48,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,20.52,5.91,2.13,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,17.59,5.62,2.02,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,0.7,1.72,0.62,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,1.34,2.32,0.83,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,1.5,2.47,0.88,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,4.56,3.83,1.36,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,20.31,5.68,2,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,1.14,2.25,0.79,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,1.76,2.63,0.92,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,8.75,4.38,1.53,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,1.22,2.38,0.83,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,1.44,2.5,0.87,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,7.84,4.26,1.47,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,0.55,1.83,0.63,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,1.7,2.55,0.88,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,14.65,5.66,1.94,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,11.44,5.44,1.85,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,1.33,2.59,0.88,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,39.31,8.06,2.62,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,0.55,1.9,0.62,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,69.04,8.77,2.78,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,21.85,6.42,2.03,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,19.07,6.21,1.93,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,araneidae,28.64,7.03,2.17,temperate,Araneae (webbuilding),Main Analysis and Supporting Information
araneae,labidognatha,clubionidae,22.76,6.57,2.63,temperate,Araneae (hunting),Main Analysis and Supporting Information
araneae,labidognatha,clubionidae,2.65,3.2,1.22,temperate,Araneae (hunting),Main Analysis and Supporting Information
araneae,labidognatha,clubionidae,4.48,3.79,1.38,temperate,Araneae (hunting),Main Analysis and Supporting Information
araneae,labidognatha,clubionidae,2.51,3.26,1.17,temperate,Araneae (hunting),Main Analysis and Supporting Information
araneae,labidognatha,clubionidae,6.65,4.06,1.45,temperate,Araneae (hunting),Main Analysis and Supporting Information
araneae,labidognatha,clubionidae,12.41,5.42,1.92,temperate,Araneae (hunting),Main Analysis and Supporting Information
araneae,labidognatha,clubionidae,5.06,3.97,1.4,temperate,Araneae (hunting),Main Analysis and Supporting Information
araneae,labidognatha,clubionidae,18.57,6.13,2.12,temperate,Araneae (hunting),Main Analysis and Supporting Information
araneae,labidognatha,clubionidae,10.13,5.02,1.69,temperate,Araneae (hunting),Main Analysis and Supporting Information
araneae,labidognatha,clubionidae,7.8,4.89,1.6,temperate,Araneae (hunting),Main Analysis and Supporting Information
