Morphospecies,Order,Present in Vials,Species_Stage_Name,Stage_Name,Group,Specialist,Standard_Sorting_Name,Barcode_Status,Authority,Phylum,Subphylum,Class,Subclass,Superorder,Order,Suborder,Infraorder,Superfamily,Family,Subfamily,Genus,specific_epithet,subspecies,Body_Length_Mean_mm,Body_Mass_Mean_mg,Body_Mass_SD_mg,Body_Mass_N,Body_Mass_Source,Body_Mass_Proxy,Body_Mass_Notes
Scaevola_sericea,21,#N/A,Scaevola_sericea_Pollen,Pollen,Shrub,,,,,,,,,,,,,,,,,,,,,,,,,
Scaevola_sericea,21,#N/A,Scaevola_sericea_Root,Root,Shrub,,,,,,,,,,,,,,,,,,,,,,,,,
Scaevola_sericea,21,#N/A,Scaevola_sericea_Seed,Seed,Shrub,,,,,,,,,,,,,,,,,,,,,,,,,
Scaevola_sericea,21,,Scaevola_sericea_Seedling,Seedling,Shrub,,,,,,,,,,,,,,,,,,,,,,,,,
Terminalia_catappa,22,#N/A,Terminalia_catappa_Adult,Adult,Tree,,,,,,,,,,,,,,,,,,,,,,,,,
Terminalia_catappa,22,#N/A,Terminalia_catappa_Flower,Flower,Tree,,,,,,,,,,,,,,,,,,,,,,,,,
Terminalia_catappa,22,#N/A,Terminalia_catappa_Leaves,Leaves,Tree,,,,,,,,,,,,,,,,,,,,,,,,,
Terminalia_catappa,22,#N/A,Terminalia_catappa_Nectar,Nectar,Tree,,,,,,,,,,,,,,,,,,,,,,,,,
Terminalia_catappa,22,#N/A,Terminalia_catappa_Pollen,Pollen,Tree,,,,,,,,,,,,,,,,,,,,,,,,,
Terminalia_catappa,22,#N/A,Terminalia_catappa_Root,Root,Tree,,,,,,,,,,,,,,,,,,,,,,,,,
Terminalia_catappa,22,#N/A,Terminalia_catappa_Seed,Seed,Tree,,,,,,,,,,,,,,,,,,,,,,,,,
Terminalia_catappa,22,#N/A,Terminalia_catappa_Stem,Stem,Tree,,,,,,,,,,,,,,,,,,,,,,,,,
Terminalia_catappa,22,,Terminalia_catappa_Seedling,Seedling,Tree,,,,,,,,,,,,,,,,,,,,,,,,,
Pisonia_grandis,23,#N/A,Pisonia_grandis_Adult,Adult,Tree,,,,,,,,,,,,,,,,,,,,,,,,,
Pisonia_grandis,23,#N/A,Pisonia_grandis_Flower,Flower,Tree,,,,,,,,,,,,,,,,,,,,,,,,,
Pisonia_grandis,23,#N/A,Pisonia_grandis_Leaves,Leaves,Tree,,,,,,,,,,,,,,,,,,,,,,,,,
Pisonia_grandis,23,#N/A,Pisonia_grandis_Nectar,Nectar,Tree,,,,,,,,,,,,,,,,,,,,,,,,,
Pisonia_grandis,23,#N/A,Pisonia_grandis_Pollen,Pollen,Tree,,,,,,,,,,,,,,,,,,,,,,,,,
Pisonia_grandis,23,#N/A,Pisonia_grandis_Root,Root,Tree,,,,,,,,,,,,,,,,,,,,,,,,,
Pisonia_grandis,23,#N/A,Pisonia_grandis_Seed,Seed,Tree,,,,,,,,,,,,,,,,,,,,,,,,,
Pisonia_grandis,23,#N/A,Pisonia_grandis_Stem,Stem,Tree,,,,,,,,,,,,,,,,,,,,,,,,,
Pisonia_grandis,23,,Pisonia_grandis_Seedling,Seedling,Tree,,,,,,,,,,,,,,,,,,,,,,,,,
Hibiscus_tiliaceus,24,#N/A,Hibiscus_tiliaceus_Adult,Adult,Tree,,,,,,,,,,,,,,,,,,,,,,,,,
Hibiscus_tiliaceus,24,#N/A,Hibiscus_tiliaceus_Flower,Flower,Tree,,,,,,,,,,,,,,,,,,,10,,,,,"Elevitch, C.R. and L.A.J. Thomson. 2006. Hibiscus Tiliaceus (beach hibiscus). Traditional Trees of Pacific Islands: Their Culture, Environment, and Use. Elevitch, C.R., ed. Permanent Agriculture Resources. Holualoa, Hawai'i.",
