web.id,observation,site,observer,spider.species.corr,spider.family,web.type,web.size,prey.class,prey.order,prey.family1,prey_family,prey.corr,prey.code,freq,mean.bs,sd.bs,prey.size,species,csv.bs,,,,,,,,,,,,,,,,,,,,,,
Aran.R3,1,Jatun.Sacha,Mark.Robertson,Eriophora.sp,Araneidae,Orb,530,Insecta,diptera,fly,,Diptera,31,2,2.5,0.707106781,0.853243729,NA,"3,2",,,,,,,,,,,,,,,,,,,,,,
Cy.R12,1,Jatun.Sacha,Mark.Robertson,Cyclosa.sp,Araneidae,Orb,47.90928797,Insecta,diptera,fly,,Diptera,31,1,3,NA,0.567957481,NA,3,,,,,,,,,,,,,,,,,,,,,,
Leu1,2,Jatun.Sacha,Mark.Robertson,Leucauge.sp,Tetragnathidae,Orb,667.5884389,Insecta,diptera,fly,,Diptera,31,2,3,0,1.135914961,NA,"3,3",,,,,,,,,,,,,,,,,,,,,,
Leu2,1,Jatun.Sacha,Jen.Guevara,Leucauge.sp,Tetragnathidae,Orb,667.5884389,Insecta,diptera,fly,,Diptera,31,1,3,NA,0.567957481,NA,3,,,,,,,,,,,,,,,,,,,,,,
NA1,1,Jatun.Sacha,Jen.Guevara,Uloborus.sp,Uloboridae,Orb,63.22455215,Insecta,diptera,fly,,Diptera,31,1,0.2,NA,0.102867846,NA,0.2,,,,,,,,,,,,,,,,,,,,,,
NA7,2,Jatun.Sacha,Jen.Guevara,Eriophora.sp,Araneidae,Orb,530,Insecta,diptera,fly,,Diptera,31,1,7,NA,4.165062489,NA,7,,,,,,,,,,,,,,,,,,,,,,
Ulo60,1,Jatun.Sacha,Mark.Robertson,Uloborus.sp,Uloboridae,Orb,63.22455215,Insecta,diptera,fly,,Diptera,31,1,2,NA,0.317826793,NA,2,,,,,,,,,,,,,,,,,,,,,,
AgeleR81,1,Jatun.Sacha,Mark.Robertson,Aglaoctenus ,Lycosidae,Sheet_Tangle,4739.6,Insecta,diptera,fly,,Diptera,31,1,4,NA,0.982022831,NA,4,,,,,,,,,,,,,,,,,,,,,,
Mecy.67,1,Jatun.Sacha,Mark.Robertson,Kapogea.sp,Araneidae,Sheet_Tangle,1107,Insecta,diptera,fly,,Diptera,31,1,3,NA,0.567957481,NA,3,,,,,,,,,,,,,,,,,,,,,,
Mecy.R2,1,Jatun.Sacha,Mark.Robertson,Kapogea.sp,Araneidae,Sheet_Tangle,1107,Insecta,diptera,fly,,Diptera,31,3,3,0,1.703872442,NA,"3,3,3",,,,,,,,,,,,,,,,,,,,,,
Mecy.R22,1,Jatun.Sacha,Mark.Robertson,Kapogea.sp,Araneidae,Sheet_Tangle,1107,Insecta,diptera,fly,,Diptera,31,5,3.6,0.547722558,3.959931121,NA,"3,3,4,4,4",,,,,,,,,,,,,,,,,,,,,,
Mecy.R25,1,Jatun.Sacha,Mark.Robertson,Kapogea.sp,Araneidae,Sheet_Tangle,1107,Insecta,diptera,fly,,Diptera,31,5,2.6,0.547722558,2.260237353,NA,"3,3,3,2,2",,,,,,,,,,,,,,,,,,,,,,
Mecy.R61,1,Jatun.Sacha,Mark.Robertson,Kapogea.sp,Araneidae,Sheet_Tangle,1107,Insecta,diptera,fly,,Diptera,31,7,2.86,0.377964473,3.672639974,NA,"3,3,3,3,3,3,2",,,,,,,,,,,,,,,,,,,,,,
NA16,1,Jatun.Sacha,Jen.Guevara,A.eximius,Theridiidae,Sheet_Tangle,39474.5,Insecta,diptera,fly,,Diptera,31,1,10,NA,13.12941692,NA,10,,,,,,,,,,,,,,,,,,,,,,
Acaearanea.R61,1,Jatun.Sacha,Mark.Robertson,Parasteatoda.sp,Theridiidae,Tangle,21,Insecta,diptera,fly,,Diptera,31,11,2.45,0.522232968,4.558391576,NA,"2,2,2,2,2,2,3,3,3,3,3",,,,,,,,,,,,,,,,,,,,,,
Acaearanea.R62,1,Jatun.Sacha,Mark.Robertson,Parasteatoda.sp,Theridiidae,Tangle,21,Insecta,diptera,fly,,Diptera,31,1,3,NA,0.567957481,NA,3,,,,,,,,,,,,,,,,,,,,,,
Acaearanea.R90,1,Jatun.Sacha,Mark.Robertson,Parasteatoda.sp,Theridiidae,Tangle,21,Insecta,diptera,fly,,Diptera,31,2,2.5,0.707106781,0.853243729,NA,"2,3",,,,,,,,,,,,,,,,,,,,,,
Acaearanea.TR20,1,Jatun.Sacha,Mark.Robertson,Parasteatoda.sp,Theridiidae,Tangle,21,Insecta,diptera,fly,,Diptera,31,3,1.6,0.577350269,0.748948847,NA,"2,3,3",,,,,,,,,,,,,,,,,,,,,,
TR30,1,Jatun.Sacha,Mark.Robertson,Other.Chrysso.sp,Theridiidae,Tangle,12,Insecta,diptera,fly,,Diptera,31,17,3,0.5,9.655277172,NA,"3,3,3,3,3,3,3,2,4,4,3,3,3,3,3,3,2",,,,,,,,,,,,,,,,,,,,,,
TW_200,1,Jatun.Sacha,Mark.Robertson,Other.Chrysso.sp,Theridiidae,Tangle,12,Insecta,diptera,fly,,Diptera,31,1,2,NA,0.317826793,NA,2,,,,,,,,,,,,,,,,,,,,,,
TW_globe.157,1,Jatun.Sacha,Mark.Robertson,Theridion.sp,Theridiidae,Tangle,15.5,Insecta,diptera,fly,,Diptera,31,3,2,0,0.953480379,NA,"2,2,2",,,,,,,,,,,,,,,,,,,,,,
TW_globe.158,1,Jatun.Sacha,Jen.Guevara,Theridion.sp,Theridiidae,Tangle,15.5,Insecta,diptera,fly,,Diptera,31,5,2.6,0.547722558,2.260237353,NA,"2,2,3,3,3",,,,,,,,,,,,,,,,,,,,,,
TW_globe.159,1,Jatun.Sacha,Mark.Robertson,Theridion.sp,Theridiidae,Tangle,15.5,Insecta,diptera,fly,,Diptera,31,4,2.75,0.957427108,1.971001452,NA,"2,2,3,4",,,,,,,,,,,,,,,,,,,,,,
TW_globe.160,1,Jatun.Sacha,Mark.Robertson,Theridion.sp,Theridiidae,Tangle,15.5,Insecta,diptera,fly,,Diptera,31,3,2,0,0.953480379,NA,"2,2,2",,,,,,,,,,,,,,,,,,,,,,
TW_globe.167,1,Jatun.Sacha,Mark.Robertson,Theridion.sp,Theridiidae,Tangle,15.5,Insecta,diptera,fly,,Diptera,31,11,2.3375,NA,4.268510632,NA,NA,,,,,,,,,,,,,,,,,,,,,,
TW_hole.155,1,Jatun.Sacha,Mark.Robertson,Other.Architis.sp,Pisauridae,Tangle,12,Insecta,diptera,fly,,Diptera,31,1,4,NA,0.982022831,NA,4,,,,,,,,,,,,,,,,,,,,,,
TW_hole.156,1,Jatun.Sacha,Mark.Robertson,Other.Architis.sp,Pisauridae,Tangle,12,Insecta,diptera,fly,,Diptera,31,1,2,NA,0.317826793,NA,2,,,,,,,,,,,,,,,,,,,,,,
TW_hole.162,1,Jatun.Sacha,Mark.Robertson,Other.Architis.sp,Pisauridae,Tangle,12,Insecta,diptera,fly,,Diptera,31,8,2,0,2.542614343,NA,"2,2,2,2,2,2,2,2",,,,,,,,,,,,,,,,,,,,,,
TW_R161,1,Jatun.Sacha,Mark.Robertson,Other.Chrysso.sp,Theridiidae,Tangle,12,Insecta,diptera,fly,,Diptera,31,1,3,NA,0.567957481,NA,3,,,,,,,,,,,,,,,,,,,,,,
TW_R21,1,Jatun.Sacha,Mark.Robertson,Other.Chrysso.sp,Theridiidae,Tangle,12,Insecta,diptera,fly,,Diptera,31,3,2,0,0.953480379,NA,"2,2,2",,,,,,,,,,,,,,,,,,,,,,
TW_R41,5,Jatun.Sacha,Mark.Robertson,Other.Chrysso.sp,Theridiidae,Tangle,12,Insecta,diptera,fly,,Diptera,31,1,3,NA,0.567957481,NA,3,,,,,,,,,,,,,,,,,,,,,,
TW.R300,1,Jatun.Sacha,Mark.Robertson,Other.Chrysso.sp,Theridiidae,Tangle,12,Insecta,diptera,fly,,Diptera,31,4,2,0,1.271307172,NA,"2,2,2,2",,,,,,,,,,,,,,,,,,,,,,
