"","Order","Family","Genus","Species","Length_mm","Mass_mg","Source","Class"
"2724","Dictyoptera","Blattidae",NA,NA,3.62,3.21,"Sohlstrom et al. 2018",""
"2725","Dictyoptera","Blattidae",NA,NA,27.16,761.15,"Sohlstrom et al. 2018",""
"2726","Dictyoptera","Blattidae",NA,NA,1.99,0.42,"Sohlstrom et al. 2018",""
"2727","Dictyoptera","Blattidae",NA,NA,2.09,0.72,"Sohlstrom et al. 2018",""
"2728","Dictyoptera","Blattidae",NA,NA,3.16,1.54,"Sohlstrom et al. 2018",""
"2729","Dictyoptera","Blattidae",NA,NA,3.11,1.72,"Sohlstrom et al. 2018",""
"2730","Dictyoptera","Blattidae",NA,NA,6.15,14.52,"Sohlstrom et al. 2018",""
"2731","Dictyoptera","Blattidae",NA,NA,2.53,0.72,"Sohlstrom et al. 2018",""
"2732","Dictyoptera","Blattidae",NA,NA,5.78,11.44,"Sohlstrom et al. 2018",""
"2733","Dictyoptera","Blattidae",NA,NA,5.62,8.88,"Sohlstrom et al. 2018",""
"2734","Dictyoptera","Blattidae",NA,NA,3.27,1.97,"Sohlstrom et al. 2018",""
"2735","Dictyoptera","Blattidae",NA,NA,5.73,9.07,"Sohlstrom et al. 2018",""
"2736","Dictyoptera","Blattidae",NA,NA,4.7,4.08,"Sohlstrom et al. 2018",""
"2737","Dictyoptera","Blattidae",NA,NA,2.63,0.75,"Sohlstrom et al. 2018",""
"2738","Dictyoptera","Blattidae",NA,NA,2.71,0.96,"Sohlstrom et al. 2018",""
"2739","Dictyoptera","Blattidae",NA,NA,9.86,49.21,"Sohlstrom et al. 2018",""
"2740","Dictyoptera","Blattidae",NA,NA,5.21,5.15,"Sohlstrom et al. 2018",""
"2741","Dictyoptera","Blattidae",NA,NA,4.45,3.51,"Sohlstrom et al. 2018",""
"2742","Dictyoptera","Blattidae",NA,NA,5.61,6.2,"Sohlstrom et al. 2018",""
"2743","Dictyoptera","Blattidae",NA,NA,6.23,8.61,"Sohlstrom et al. 2018",""
"2744","Dictyoptera","Blattidae",NA,NA,7.11,16.87,"Sohlstrom et al. 2018",""
"2745","Dictyoptera","Blattidae",NA,NA,2.68,0.75,"Sohlstrom et al. 2018",""
"2746","Dictyoptera","Blattidae",NA,NA,2.65,0.96,"Sohlstrom et al. 2018",""
"2747","Dictyoptera","Blattidae",NA,NA,2.94,1.07,"Sohlstrom et al. 2018",""
"2748","Dictyoptera","Blattidae",NA,NA,4.65,3.65,"Sohlstrom et al. 2018",""
"2749","Dictyoptera","Blattidae",NA,NA,3.56,2.04,"Sohlstrom et al. 2018",""
"2750","Dictyoptera","Blattidae",NA,NA,11.21,46.31,"Sohlstrom et al. 2018",""
"2751","Dictyoptera","Blattidae",NA,NA,10.62,33.9,"Sohlstrom et al. 2018",""
"2752","Dictyoptera","Blattidae",NA,NA,8.43,14.41,"Sohlstrom et al. 2018",""
"2753","Dictyoptera","Blattidae",NA,NA,6.76,9.62,"Sohlstrom et al. 2018",""
"2754","Dictyoptera","Blattidae",NA,NA,33.69,929.5,"Sohlstrom et al. 2018",""
"2755","Dictyoptera","Blattidae",NA,NA,6.24,7.54,"Sohlstrom et al. 2018",""
"2756","Dictyoptera","Blattidae",NA,NA,3.2,1.01,"Sohlstrom et al. 2018",""
"2757","Dictyoptera","Blattidae",NA,NA,29.54,894.93,"Sohlstrom et al. 2018",""
"2758","Dictyoptera","Blattidae",NA,NA,5.9,9.23,"Sohlstrom et al. 2018",""
"2759","Diptera","Calliphoridae",NA,NA,14.34,113.08,"Sohlstrom et al. 2018",""
"2760","Diptera","Ceratopogonidae",NA,NA,1.88,0.33,"Sohlstrom et al. 2018",""
"2761","Diptera","Ceratopogonidae",NA,NA,1.92,0.07,"Sohlstrom et al. 2018",""
"2762","Diptera","Chloropidae",NA,NA,3.29,1.76,"Sohlstrom et al. 2018",""
"2763","Diptera","Culicidae",NA,NA,3.54,1.92,"Sohlstrom et al. 2018",""
"2764","Diptera","Culicidae",NA,NA,1.82,0.42,"Sohlstrom et al. 2018",""
"2765","Diptera","Culicidae",NA,NA,5.24,6.34,"Sohlstrom et al. 2018",""
"2766","Diptera","Culicidae",NA,NA,4.83,4.92,"Sohlstrom et al. 2018",""
"2767","Diptera","Culicidae",NA,NA,4.74,3.11,"Sohlstrom et al. 2018",""
"2768","Diptera","Culicidae",NA,NA,4.88,3.61,"Sohlstrom et al. 2018",""
"2769","Diptera","Culicidae",NA,NA,5.72,6.01,"Sohlstrom et al. 2018",""
"2770","Diptera","Culicidae",NA,NA,4.12,1.82,"Sohlstrom et al. 2018",""
"2771","Diptera","Culicidae",NA,NA,5.93,4.43,"Sohlstrom et al. 2018",""
"2772","Diptera","Culicidae",NA,NA,6.41,4.93,"Sohlstrom et al. 2018",""
"2773","Diptera","Culicidae",NA,NA,2.84,0.66,"Sohlstrom et al. 2018",""
"2774","Diptera","Culicidae",NA,NA,2.9,0.54,"Sohlstrom et al. 2018",""
"2775","Diptera","Culicidae",NA,NA,5.7,4.7,"Sohlstrom et al. 2018",""
"2776","Diptera","Culicidae",NA,NA,1.81,0.18,"Sohlstrom et al. 2018",""
"2777","Diptera","Culicidae",NA,NA,5.87,3.79,"Sohlstrom et al. 2018",""
"2778","Diptera","Culicidae",NA,NA,5.77,3.46,"Sohlstrom et al. 2018",""
"2779","Diptera","Culicidae",NA,NA,5.69,4.42,"Sohlstrom et al. 2018",""
"2780","Diptera","Culicidae",NA,NA,4.09,0.56,"Sohlstrom et al. 2018",""
"2781","Diptera","Culicidae",NA,NA,6.26,4.6,"Sohlstrom et al. 2018",""
"2782","Diptera","Culicidae",NA,NA,3.69,0.95,"Sohlstrom et al. 2018",""
"2783","Diptera","Culicidae",NA,NA,4.38,1.97,"Sohlstrom et al. 2018",""
"2784","Diptera","Culicidae",NA,NA,5.51,2.12,"Sohlstrom et al. 2018",""
"2785","Diptera","Culicidae",NA,NA,2.75,0.71,"Sohlstrom et al. 2018",""
"2786","Diptera","Culicidae",NA,NA,5.98,4.3,"Sohlstrom et al. 2018",""
"2787","Diptera","Culicidae",NA,NA,6.21,4.15,"Sohlstrom et al. 2018",""
"2788","Diptera","Culicidae",NA,NA,5.26,2.18,"Sohlstrom et al. 2018",""
"2789","Diptera","Culicidae",NA,NA,6.02,3.37,"Sohlstrom et al. 2018",""
"2790","Diptera","Culicidae",NA,NA,6.02,3.77,"Sohlstrom et al. 2018",""
"2791","Diptera","Culicidae",NA,NA,3.54,0.9,"Sohlstrom et al. 2018",""
"2792","Diptera","Culicidae",NA,NA,6.32,4.23,"Sohlstrom et al. 2018",""
"2793","Diptera","Culicidae",NA,NA,5.53,2.12,"Sohlstrom et al. 2018",""
"2794","Diptera","Culicidae",NA,NA,4.26,1.07,"Sohlstrom et al. 2018",""
"2795","Diptera","Dolichopodidae",NA,NA,2.21,0.37,"Sohlstrom et al. 2018",""
"2796","Diptera","Dolichopodidae",NA,NA,5.37,2.17,"Sohlstrom et al. 2018",""
"2797","Diptera","Phoridae",NA,NA,2.57,1.06,"Sohlstrom et al. 2018",""
"2798","Diptera","Platystomatidae",NA,NA,3.55,1.98,"Sohlstrom et al. 2018",""
"2799","Diptera","Platystomatidae",NA,NA,3.4,1.87,"Sohlstrom et al. 2018",""
"2800","Diptera","Platystomatidae",NA,NA,3.5,2.16,"Sohlstrom et al. 2018",""
"2801","Diptera","Platystomatidae",NA,NA,3.99,2.61,"Sohlstrom et al. 2018",""
"2802","Diptera","Platystomatidae",NA,NA,3.71,0.95,"Sohlstrom et al. 2018",""
"2803","Diptera","Sciaridae",NA,NA,2.45,0.21,"Sohlstrom et al. 2018",""
"2804","Diptera","Sciaridae",NA,NA,4.64,2.62,"Sohlstrom et al. 2018",""
"2805","Diptera","Sciaridae",NA,NA,6.29,3.41,"Sohlstrom et al. 2018",""
"2806","Diptera","Stratiomyidae",NA,NA,3.87,3.81,"Sohlstrom et al. 2018",""
"2807","Diptera","Stratiomyidae",NA,NA,8.86,35.91,"Sohlstrom et al. 2018",""
"2808","Diptera","Stratiomyidae",NA,NA,15,36.57,"Sohlstrom et al. 2018",""
"2809","Geophilomorpha","Ballophilidae",NA,NA,9.35,0.29,"Sohlstrom et al. 2018",""
"2810","Geophilomorpha","Mecistocephalidae",NA,NA,12.14,5.76,"Sohlstrom et al. 2018",""
"2811","Geophilomorpha","Mecistocephalidae",NA,NA,11.47,1.54,"Sohlstrom et al. 2018",""
"2812","Geophilomorpha","Mecistocephalidae",NA,NA,13.04,2.51,"Sohlstrom et al. 2018",""
"2813","Geophilomorpha","Mecistocephalidae",NA,NA,17.64,4.77,"Sohlstrom et al. 2018",""
"2814","Geophilomorpha","Mecistocephalidae",NA,NA,33.54,21.03,"Sohlstrom et al. 2018",""
"2815","Geophilomorpha","Mecistocephalidae",NA,NA,7.47,0.36,"Sohlstrom et al. 2018",""
"2816","Geophilomorpha","Mecistocephalidae",NA,NA,17.34,4.25,"Sohlstrom et al. 2018",""
"2817","Geophilomorpha","Mecistocephalidae",NA,NA,19.65,5.05,"Sohlstrom et al. 2018",""
"2818","Geophilomorpha","Mecistocephalidae",NA,NA,17.66,2.78,"Sohlstrom et al. 2018",""
"2819","Geophilomorpha","Mecistocephalidae",NA,NA,9.88,0.76,"Sohlstrom et al. 2018",""
"2820","Geophilomorpha","Mecistocephalidae",NA,NA,9.94,0.69,"Sohlstrom et al. 2018",""
"2821","Geophilomorpha","Mecistocephalidae",NA,NA,10.52,0.68,"Sohlstrom et al. 2018",""
"2822","Hymenoptera","Eulophidae",NA,NA,2.88,1.61,"Sohlstrom et al. 2018",""
"2823","Hymenoptera","Evaniidae",NA,NA,5.44,8.54,"Sohlstrom et al. 2018",""
"2824","Hymenoptera","Formicidae",NA,NA,0.62,0.04,"Sohlstrom et al. 2018",""
"2825","Hymenoptera","Formicidae",NA,NA,5.18,5.64,"Sohlstrom et al. 2018",""
"2826","Hymenoptera","Formicidae",NA,NA,7.36,22.05,"Sohlstrom et al. 2018",""
"2827","Hymenoptera","Formicidae",NA,NA,4.27,6.32,"Sohlstrom et al. 2018",""
"2828","Hymenoptera","Formicidae",NA,NA,7.06,25.49,"Sohlstrom et al. 2018",""
"2829","Hymenoptera","Formicidae",NA,NA,4.06,4.81,"Sohlstrom et al. 2018",""
"2830","Hymenoptera","Formicidae",NA,NA,6.98,22.07,"Sohlstrom et al. 2018",""
"2831","Hymenoptera","Formicidae",NA,NA,5.59,6.73,"Sohlstrom et al. 2018",""
"2832","Hymenoptera","Formicidae",NA,NA,3.04,1.32,"Sohlstrom et al. 2018",""
"2833","Hymenoptera","Formicidae",NA,NA,7.52,18.48,"Sohlstrom et al. 2018",""
"2834","Hymenoptera","Formicidae",NA,NA,7.16,18.57,"Sohlstrom et al. 2018",""
"2835","Hymenoptera","Formicidae",NA,NA,3.07,1.72,"Sohlstrom et al. 2018",""
"2836","Hymenoptera","Formicidae",NA,NA,4.48,5.81,"Sohlstrom et al. 2018",""
"2837","Hymenoptera","Formicidae",NA,NA,3.69,3.61,"Sohlstrom et al. 2018",""
"2838","Hymenoptera","Formicidae",NA,NA,4.81,7.27,"Sohlstrom et al. 2018",""
"2839","Hymenoptera","Formicidae",NA,NA,7.58,20.5,"Sohlstrom et al. 2018",""
"2840","Hymenoptera","Formicidae",NA,NA,20.61,366.97,"Sohlstrom et al. 2018",""
"2841","Hymenoptera","Formicidae",NA,NA,8.18,21.3,"Sohlstrom et al. 2018",""
"2842","Hymenoptera","Formicidae",NA,NA,20.96,406.68,"Sohlstrom et al. 2018",""
"2843","Hymenoptera","Formicidae",NA,NA,5.21,5.9,"Sohlstrom et al. 2018",""
"2844","Hymenoptera","Formicidae",NA,NA,8.47,21.22,"Sohlstrom et al. 2018",""
"2845","Hymenoptera","Formicidae",NA,NA,5.45,7.59,"Sohlstrom et al. 2018",""
"2846","Hymenoptera","Formicidae",NA,NA,2.62,1.04,"Sohlstrom et al. 2018",""
"2847","Hymenoptera","Formicidae",NA,NA,5.67,7.36,"Sohlstrom et al. 2018",""
