"","sample","unique_ID","pred_ID","Phylum_prey","Class_prey","Order_prey","Family_prey","Genus_prey","Species_prey","ID_level","reads"
"23","CEN10b","Ceratopogonidae sp. sc","Geophilomorpha","Arthropoda","Insecta","Diptera","Ceratopogonidae","","Ceratopogonidae sp. sc_07781","Species",0
"24","CEN10b","Chloropidae","Geophilomorpha","Arthropoda","Insecta","Diptera","Chloropidae","","","Family",0
"25","CEN10b","Chromadorea","Geophilomorpha","Nematoda","Chromadorea","","","","","Class",0
"26","CEN10b","Coleoptera","Geophilomorpha","Arthropoda","Insecta","Coleoptera","","","","Order",0
"27","CEN10b","Collembola","Geophilomorpha","Arthropoda","Collembola","","","","","Class",0
"28","CEN10b","Conoderus pallipes","Geophilomorpha","Arthropoda","Insecta","Coleoptera","Elateridae","Conoderus","Conoderus pallipes","Species",0
"29","CEN10b","Culex univittatus","Geophilomorpha","Arthropoda","Insecta","Diptera","Culicidae","Culex","Culex univittatus","Species",0
"30","CEN10b","Culicoides sp. OM-2014","Geophilomorpha","Arthropoda","Insecta","Diptera","Ceratopogonidae","Culicoides","Culicoides sp. OM-2014","Species",0
"31","CEN10b","Cytaea cf. sinuata JXZ-2013","Geophilomorpha","Arthropoda","Arachnida","Araneae","Salticidae","Cytaea","Cytaea cf. sinuata JXZ-2013","Species",0
"32","CEN10b","Dactylosternum abdominale","Geophilomorpha","Arthropoda","Insecta","Coleoptera","Hydrophilidae","Dactylosternum","Dactylosternum abdominale","Species",0
"33","CEN10b","Dermatophagoides farinae","Geophilomorpha","Arthropoda","Arachnida","Sarcoptiformes","Pyroglyphidae","Dermatophagoides","Dermatophagoides farinae","Species",0
"34","CEN10b","Diadiplosis donaldi","Geophilomorpha","Arthropoda","Insecta","Diptera","Cecidomyiidae","Diadiplosis","Diadiplosis donaldi","Species",0
"35","CEN10b","Diploptera punctata","Geophilomorpha","Arthropoda","Insecta","Blattodea","Blaberidae","Diploptera","Diploptera punctata","Species",0
"36","CEN10b","Diptera","Geophilomorpha","Arthropoda","Insecta","Diptera","","","","Order",0
"37","CEN10b","Diptera sp. sc","Geophilomorpha","Arthropoda","Insecta","Diptera","","","Diptera sp. sc_00793","Species",0
"38","CEN10b","Echmepteryx madagascariensis","Geophilomorpha","Arthropoda","Insecta","Psocoptera","Lepidopsocidae","Echmepteryx","Echmepteryx madagascariensis","Species",0
"39","CEN10b","Ectobiidae","Geophilomorpha","Arthropoda","Insecta","Blattodea","Ectobiidae","","","Family",0
"40","CEN10b","Ectopsocidae sp. S150708","Geophilomorpha","Arthropoda","Insecta","Psocoptera","Ectopsocidae","","Ectopsocidae sp. S150708","Species",0
"41","CEN10b","Ectopsocus fullawayi","Geophilomorpha","Arthropoda","Insecta","Psocoptera","Ectopsocidae","Ectopsocus","Ectopsocus fullawayi","Species",0
"42","CEN10b","Ectopsocus sp. KY212","Geophilomorpha","Arthropoda","Insecta","Psocoptera","Ectopsocidae","Ectopsocus","Ectopsocus sp. KY212","Species",0
"43","CEN10b","Enterobius vermicularis","Geophilomorpha","Nematoda","Chromadorea","Rhabditida","Oxyuridae","Enterobius","Enterobius vermicularis","Species",0
"44","CEN10b","Entomobryomorpha","Geophilomorpha","Arthropoda","Collembola","Entomobryomorpha","","","","Order",0
"45","CEN10b","Erebidae","Geophilomorpha","Arthropoda","Insecta","Lepidoptera","Erebidae","","","Family",0
"46","CEN10b","Eukaryota","Geophilomorpha","","","","","","","Domain",0
"47","CEN10b","Eukaryota","Geophilomorpha","Arthropoda","Insecta","","","","","Class",0
"48","CEN10b","Eukaryota","Geophilomorpha","Chordata","Mammalia","Rodentia","","","","Order",0
"49","CEN10b","Evaniella semaeoda","Geophilomorpha","Arthropoda","Insecta","Hymenoptera","Evaniidae","Evaniella","Evaniella semaeoda","Species",0
"50","CEN10b","Formicidae","Geophilomorpha","Arthropoda","Insecta","Hymenoptera","Formicidae","","","Family",0
"51","CEN10b","Hasarius adansoni","Geophilomorpha","Arthropoda","Arachnida","Araneae","Salticidae","Hasarius","Hasarius adansoni","Species",0
"52","CEN10b","Hemiptera","Geophilomorpha","Arthropoda","Insecta","Hemiptera","","","","Order",0
"53","CEN10b","Hemiptera sp. BIOUG03439-H02","Geophilomorpha","Arthropoda","Insecta","Hemiptera","","","Hemiptera sp. BIOUG03439-H02","Species",0
"54","CEN10b","Hercostomus unicolor","Geophilomorpha","Arthropoda","Insecta","Diptera","Dolichopodidae","Hercostomus","Hercostomus unicolor","Species",0
"55","CEN10b","Homidia","Geophilomorpha","Arthropoda","Collembola","Entomobryomorpha","Entomobryidae","Homidia","","Genus",0
"56","CEN10b","Hominidae","Geophilomorpha","Chordata","Mammalia","Primates","Hominidae","","","Family",0
"57","CEN10b","Homo sapiens","Geophilomorpha","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens","Species",0
"58","CEN10b","Hymenoptera","Geophilomorpha","Arthropoda","Insecta","Hymenoptera","","","","Order",0
"59","CEN10b","Hypoponera","Geophilomorpha","Arthropoda","Insecta","Hymenoptera","Formicidae","Hypoponera","","Genus",0
"60","CEN10b","Hypothenemus sp. H206","Geophilomorpha","Arthropoda","Insecta","Coleoptera","Curculionidae","Hypothenemus","Hypothenemus sp. H206","Species",0
"61","CEN10b","Insecta","Geophilomorpha","Arthropoda","Insecta","","","","","Class",4
"62","CEN10b","Insecta","Geophilomorpha","Arthropoda","Insecta","Coleoptera","","","","Order",0
"63","CEN10b","Insecta","Geophilomorpha","Arthropoda","Insecta","Dermaptera","","","","Order",0
"64","CEN10b","Insecta","Geophilomorpha","Arthropoda","Insecta","Diptera","","","","Order",0
"65","CEN10b","Insecta","Geophilomorpha","Arthropoda","Insecta","Hemiptera","","","","Order",0
"66","CEN10b","Isotomidae sp. DPCOL102537","Geophilomorpha","Arthropoda","Collembola","Entomobryomorpha","Isotomidae","","Isotomidae sp. DPCOL102537","Species",17
"67","CEN10b","Keijia mneon","Geophilomorpha","Arthropoda","Arachnida","Araneae","Theridiidae","Keijia <spiders>","Keijia mneon","Species",0
"68","CEN10b","Lepidopsocidae","Geophilomorpha","Arthropoda","Insecta","Psocoptera","Lepidopsocidae","","","Family",0
"69","CEN10b","Lepidoptera","Geophilomorpha","Arthropoda","Insecta","Lepidoptera","","","","Order",0
"70","CEN10b","Lepidoptera sp. BOLD:AAC1583","Geophilomorpha","Arthropoda","Insecta","Lepidoptera","","","Lepidoptera sp. BOLD:AAC1583","Species",0
"71","CEN10b","Lepidoptera sp. sc","Geophilomorpha","Arthropoda","Insecta","Lepidoptera","","","Lepidoptera sp. sc_03005","Species",0
"72","CEN10b","Lepidoptera sp. sc","Geophilomorpha","Arthropoda","Insecta","Lepidoptera","","","Lepidoptera sp. sc_07152","Species",0
"73","CEN10b","Limoniidae","Geophilomorpha","Arthropoda","Insecta","Diptera","Limoniidae","","","Family",0
"74","CEN10b","Linepithema humile","Geophilomorpha","Arthropoda","Insecta","Hymenoptera","Formicidae","Linepithema","Linepithema humile","Species",0
"75","CEN10b","Liposcelis bostrychophila","Geophilomorpha","Arthropoda","Insecta","Psocoptera","Liposcelididae","Liposcelis","Liposcelis bostrychophila","Species",0
"76","CEN10b","Liposcelis decolor","Geophilomorpha","Arthropoda","Insecta","Psocoptera","Liposcelididae","Liposcelis","Liposcelis decolor","Species",0
"77","CEN10b","Littorophiloscia bifasciata","Geophilomorpha","Arthropoda","Malacostraca","Isopoda","Philosciidae","Littorophiloscia","Littorophiloscia bifasciata","Species",0
"78","CEN10b","Mus musculus","Geophilomorpha","Chordata","Mammalia","Rodentia","Muridae","Mus","Mus musculus","Species",0
"79","CEN10b","Myopsocidae sp. sc","Geophilomorpha","Arthropoda","Insecta","Psocoptera","Myopsocidae","","Myopsocidae sp. sc_07272","Species",0
"80","CEN10b","Neoscona","Geophilomorpha","Arthropoda","Arachnida","Araneae","Araneidae","Neoscona","","Genus",0
"81","CEN10b","Neoscona theisi","Geophilomorpha","Arthropoda","Arachnida","Araneae","Araneidae","Neoscona","Neoscona theisi","Species",0
"82","CEN10b","Nephus sp. PSRU-COC007","Geophilomorpha","Arthropoda","Insecta","Coleoptera","Coccinellidae","Nephus","Nephus sp. PSRU-COC007","Species",0
"83","CEN10b","Nylanderia sp. CHR01","Geophilomorpha","Arthropoda","Insecta","Hymenoptera","Formicidae","Nylanderia","Nylanderia sp. CHR01","Species",0
