#OTU ID	HEV027a	HEV027b	HEV027c	HEV027d	HEV029a	HEV029b	HEV029c	HEV029d	HEV032	HEV034	HEV038	HEV039	HEV040	HEV042	HEV045	HEV049	HEV050	HEV065a	HEV065d	HEV066a	HEV066d	HEV067a	HEV067d	HEV068a	HEV068d	HEV070a	HEV070d	HEV071a	HEV071d	HEV074a	HEV074d	HEV076a	HEV076d
Zotu125	82	47	50	103	0	0	0	0	3	0	0	0	3	0	0	11	0	51	32	228	187	0	0	0	0	0	0	10	9	8	7	1	4
Zotu152	30	19	22	31	2	0	0	1	0	2	0	0	5	0	34	8	2	3	1	0	2	12	6	1	1	0	0	0	0	0	1	3	4
Zotu132	1	0	0	1	3	5	2	2	13	46	7	6	24	27	5	0	2	0	1	0	0	0	0	2	0	0	0	1	0	2	1	0	1
Zotu19	1	0	0	0	2	0	0	0	1	27	11	0	0	0	12	15	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0
Zotu141	1	1	1	3	3	1	0	2	9	11	12	24	164	135	40	6	21	2	2	1	1	1	0	0	0	2	3	1	1	3	0	1	3
Zotu3	1	0	0	0	3	0	0	0	5	52	32	8	1	3	9	25	0	0	0	0	0	0	0	3	0	2	0	3	0	7	0	39	0
Zotu410	2	1	0	1	0	0	0	0	3	0	2	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Zotu28	1	0	0	0	43	31	24	28	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0
Zotu2	0	1	0	0	0	0	0	0	0	0	0	0	37	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu38	0	1	0	0	43	29	22	39	134	1007	1	148	5	2	317	1	7	0	0	0	0	1	0	0	0	0	0	0	0	0	0	11	4
Zotu20	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu39	0	1	0	3	1	4	7	5	99	191	16	70	270	137	35	17	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	8
Zotu37	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu9	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu8	0	0	1	0	0	0	1	0	0	0	5	59	0	0	76	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	121	87
Zotu1062	0	0	0	1	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu211	0	0	0	0	83	91	71	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu793	0	0	0	0	11	6	7	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu226	0	0	0	0	7	7	3	4	0	0	0	0	0	0	0	0	0	0	0	20	12	0	0	0	0	0	0	0	0	0	0	0	0
Zotu291	0	0	0	0	43	52	26	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu633	0	0	0	0	11	13	10	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu854	0	0	0	0	1	0	1	0	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu247	0	0	0	0	75	66	45	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu385	0	0	0	0	28	29	16	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu476	0	0	0	0	36	23	11	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu144	0	0	0	0	11	9	8	3	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu255	0	0	0	0	3	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	2	0	1	0	0
Zotu475	0	0	0	0	73	47	41	61	0	2	2	0	7	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu225	0	0	0	0	19	21	15	28	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	17	0	0
Zotu634	0	0	0	0	10	14	13	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu681	0	0	0	0	6	6	3	4	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu632	0	0	0	0	10	20	6	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu131	0	0	0	0	2	2	4	3	82	45	10	23	40	46	4	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
Zotu596	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu937	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu569	0	0	0	0	12	15	11	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu267	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu742	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu51	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu61	0	0	0	0	0	0	1	0	28	44	12	7	82	50	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0
Zotu50	0	0	0	0	0	0	1	0	147	1	10	75	613	172	247	1	63	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
Zotu304	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	5
Zotu261	0	0	0	0	0	0	0	0	3	3	0	2	11	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu49	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	1	0	1	0	1	0	3	1	1	0	1	0	1	0	672	483
Zotu302	0	0	0	0	0	0	0	0	6	0	0	0	0	0	149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu294	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu557	0	0	0	0	0	0	0	0	16	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu140	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
