#OTU ID	EUB01	EUB02	EUB03	EUB04	EUB05	EUB06	EUB07	EUB08	EUB09	EUB10	EUB12	EUB13	EUB15	EUB16	EUB18	EUB19	EUB20	EUB21	EUB23	EUB24	EUB25	EUB26	EUB27	EUB28	EUB29	HEV083a	HEV083d	HEV087a	HEV087d	HEV088a
Zotu372	1	1	2	3	1	2	1	0	2	1	1	1	0	2	0	1	2	4	0	0	0	0	0	0	0	0	0	0	0	0
Zotu343	3	7	7	6	1	4	4	10	3	8	3	3	1	3	2	3	15	4	0	0	0	0	0	0	0	0	0	0	0	0
Zotu559	3	1	0	4	1	0	1	0	1	0	0	5	0	1	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu192	1	2	3	3	3	2	6	0	11	3	11	6	5	6	14	6	23	7	0	0	0	0	0	0	0	0	0	0	0	0
Zotu701	3	12	2	17	13	7	7	3	3	6	0	6	0	17	0	9	30	16	0	0	0	0	0	0	0	0	0	0	0	0
Zotu143	2	0	0	0	10	0	0	1	0	0	0	4	0	0	0	2	7	0	0	0	0	1	0	0	2	36	2	2	0	9
Zotu225	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
Zotu419	2	7	3	1	2	5	0	0	4	9	13	7	3	6	17	5	13	1	0	0	0	0	0	0	0	0	0	0	0	0
Zotu893	1	5	0	1	0	0	1	2	0	0	0	7	0	6	0	0	15	10	0	0	0	0	0	0	0	0	0	0	0	0
Zotu469	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Zotu307	1	8	2	8	3	1	0	0	12	4	2	1	2	2	5	7	6	1	0	0	0	0	0	0	0	0	0	0	0	0
Zotu958	1	2	1	1	2	0	1	1	0	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu176	1	12	3	5	1	4	2	3	9	3	0	6	2	8	7	2	16	12	0	0	0	0	0	0	0	0	0	0	0	0
Zotu585	0	4	0	0	4	0	20	4	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu37	0	3	5	0	1	0	16	0	10	0	0	3	1	5	84	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu908	0	16	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu753	0	28	0	1	0	4	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu88	0	1	0	0	0	1	2	0	0	3	4	1	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1017	0	3	1	1	0	16	0	0	0	9	0	0	0	0	7	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu984	0	4	0	0	0	2	2	0	0	0	0	8	0	5	0	0	1	11	0	0	0	0	0	0	0	0	0	0	0	0
Zotu679	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0
Zotu846	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
Zotu866	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1074	0	3	0	2	1	0	1	0	7	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu97	0	1	0	0	1	1	0	0	0	0	5	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu99	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1016	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu286	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu512	0	2	3	0	1	3	0	3	0	0	1	0	0	0	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0
Zotu263	0	2	0	0	0	0	3	0	0	0	2	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu754	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu92	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu79	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu268	0	1	1	2	0	0	0	0	0	1	0	2	1	1	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0
