#OTU ID	SME01	SME02	SME03	SME05	SME06	SME07	SME08	SME09	SME10	SME11	SME12	SME13	SME14
Zotu364	0	0	0	1	0	0	0	0	0	0	0	0	0
Zotu249	0	0	0	1	0	0	0	0	0	269	0	0	0
Zotu704	0	0	0	6	0	0	0	0	2	0	0	0	0
Zotu247	0	0	0	1	0	0	0	0	0	0	0	0	0
Zotu225	0	0	0	6	0	0	0	0	0	0	0	0	0
Zotu125	0	0	0	2	0	1	5	13	0	0	8	0	12
Zotu215	0	0	0	1	0	0	0	0	0	0	0	0	0
Zotu79	0	0	0	1	0	0	0	0	0	0	0	0	0
Zotu611	0	0	0	0	189	0	99	0	0	0	0	0	0
Zotu458	0	0	0	0	87	0	0	0	0	0	0	0	0
Zotu578	0	0	0	0	53	0	0	0	0	0	0	0	0
Zotu267	0	0	0	0	6	0	0	0	2	22	0	0	0
Zotu747	0	0	0	0	1	0	0	0	0	0	0	0	0
Zotu210	0	0	0	0	2	1	0	0	0	0	0	0	0
Zotu296	0	0	0	0	1	0	0	0	0	0	0	0	0
Zotu867	0	0	0	0	1	0	0	0	0	0	0	0	0
Zotu713	0	0	0	0	0	48	0	0	0	0	0	0	0
Zotu1159	0	0	0	0	0	18	0	0	0	0	0	0	0
Zotu294	0	0	0	0	0	6	0	0	0	0	0	0	0
Zotu312	0	0	0	0	0	1	0	0	0	193	0	0	0
Zotu69	0	0	0	0	0	2	0	0	0	36	1	1	1
Zotu484	0	0	0	0	0	0	9	0	0	17	0	0	0
Zotu706	0	0	0	0	0	0	1	0	0	0	0	0	0
Zotu131	0	0	0	0	0	0	2	0	0	0	0	0	0
Zotu447	0	0	0	0	0	0	4	6	65	0	0	0	0
Zotu847	0	0	0	0	0	0	3	0	0	0	0	0	0
Zotu456	0	0	0	0	0	0	0	1	0	0	0	0	1
Zotu96	0	0	0	0	0	0	0	1	0	0	0	0	0
Zotu22	0	0	0	0	0	0	0	2	0	0	2	1	0
Zotu774	0	0	0	0	0	0	0	0	32	0	0	0	0
