#OTU ID	PHH043	PHH044	PHH045	PHH046	PHH047	PHH049	PHH050	PHH051	PHH052	PHH053	PHH054	PHH055	PHH056	PHH057	PHH058	PHH059	PHH060	PHH061	PHH062	PHH063	PHH065	PHH066	PHH067	PHH068	PHH069	PHH070	PHH071	PHH072	PHH073	PHH074	PHH075	QC1a	QC1b	QC1c	QC1d	SCY03	SCY04	SCY07	SCY08	SCY09	SCY10	SCY12	SCY15	SCY16	SCY17
Zotu413	10	2	12	10	7	3	7	11	14	3	4	9	7	7	6	15	16	20	3	9	6	11	2	6	3	8	10	5	4	17	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1	14	1	0	3	4	26	7	5	3	0	134	40	6	0	5	1	0	3	87	57	97	10	53	11	13	20	7	43	7	14	22	0	0	0	0	55	29	37	60	60	68	47	35	103	68
Zotu88	138	63	201	71	120	98	197	210	209	32	28	74	56	157	80	206	152	114	43	124	32	101	123	46	123	75	283	170	131	177	149	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu878	7	2	3	5	4	4	10	3	1	2	2	1	4	4	4	5	5	2	1	7	2	5	0	1	3	3	15	6	5	3	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu604	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1123	54	18	34	40	68	64	113	113	126	36	27	45	39	75	48	69	69	42	32	66	29	60	86	55	49	44	115	95	69	95	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu392	20	0	0	0	0	38	0	0	0	0	0	0	40	1	0	0	6	0	0	0	0	0	0	2	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu263	41	12	28	16	43	34	49	53	83	11	10	53	12	31	13	68	22	32	20	32	8	32	32	13	29	13	102	50	35	49	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu94	54	8	16	16	130	94	159	100	51	56	58	66	55	39	24	42	46	88	81	106	47	39	77	124	52	39	55	177	91	57	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu143	12	8	42	7	0	11	3	0	0	0	0	0	0	1	0	0	1	0	7	2	5	15	9	19	3	0	0	0	0	0	8	0	0	0	0	13	11	28	0	6	5	12	2	20	6
Zotu58	4	0	5	1	3	2	4	8	4	1	0	2	0	6	4	13	7	1	2	3	1	2	1	1	5	2	9	5	1	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1058	5	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu370	29	0	15	13	0	27	12	9	3	0	0	2	30	84	0	51	28	1	0	20	21	0	3	0	10	1	8	5	31	13	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu75	1	0	0	0	0	0	0	0	0	0	0	0	2638	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1171	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu145	30	10	6	27	93	34	74	34	39	27	49	48	36	27	25	24	31	34	45	54	34	19	40	30	16	28	42	50	47	30	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu784	2	1	0	11	9	6	1	6	5	1	7	1	1	7	5	2	0	5	1	2	1	2	5	8	3	0	10	12	13	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu403	9	1	0	9	3	25	9	0	0	0	109	43	3	0	6	0	0	2	41	16	136	15	25	6	7	5	7	27	8	10	26	0	0	0	0	110	38	69	136	146	130	35	63	165	100
Zotu379	5	2	4	4	2	3	6	10	6	1	0	6	4	10	3	4	7	7	1	9	2	5	6	5	5	8	4	12	7	11	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
