"","Morphospecies","Phylum","Class","Order.1","Family","Body_Length_Mean_mm","Body_Mass_Mean_mg","Body_Mass_SD_mg","Body_Mass_N"
"103","Crocothemis_servilla","Arthropoda","Insecta","Odonata","Libellulidae",NA,NA,NA,NA
"104","Pantala_flavescens","Arthropoda","Insecta","Odonata","Libellulidae",NA,NA,NA,NA
"105","Ornebius_n_sp_1","Arthropoda","Insecta","Orthoptera","Mogoplistidae",NA,NA,NA,NA
"106","Ornebius_n_sp_1","Arthropoda","Insecta","Orthoptera","Mogoplistidae",6.85,NA,NA,18
"107","Oxya_japonica","Arthropoda","Insecta","Orthoptera","Acrididae",NA,NA,NA,NA
"108","Cyptophania_marginata","Arthropoda","Insecta","Psocodea","Lepidopsocidae",NA,NA,NA,NA
"109","Echmepteryx_lunulata","Arthropoda","Insecta","Psocodea","Lepidopsocidae",NA,NA,NA,NA
"110","Echmepteryx_madagascariensis","Arthropoda","Insecta","Psocodea","Lepidopsocidae",NA,NA,NA,NA
"111","Ectopsocus_denervus","Arthropoda","Insecta","Psocodea","Ectopsocidae",NA,NA,NA,NA
"112","Ectopsocus_spilotus","Arthropoda","Insecta","Psocodea","Ectopsocidae",NA,NA,NA,NA
"113","Ectopsocus_thysanus","Arthropoda","Insecta","Psocodea","Ectopsocidae",NA,NA,NA,NA
"114","Lepidopsocus_maculatus","Arthropoda","Insecta","Psocodea","Lepidopsocidae",NA,NA,NA,NA
"115","Lepidopsocus_pallidus","Arthropoda","Insecta","Psocodea","Lepidopsocidae",NA,NA,NA,NA
"116","Liposcelis_sp_1","Arthropoda","Insecta","Psocodea","Liposcelididae",NA,NA,NA,NA
"117","Isometrus_maculatus","Arthropoda","Arachnida","Scorpiones","Buthidae",NA,NA,NA,NA
"118","Chaetanaphothrips_orchidii","Arthropoda","Insecta","Thsysanoptera","Thripidae",NA,NA,NA,NA
"119","Leucothrips_piercei","Arthropoda","Insecta","Thsysanoptera","Thripidae",NA,NA,NA,NA
"120","Projectothrips_palmyrae","Arthropoda","Insecta","Thsysanoptera","Thripidae",NA,NA,NA,NA
"121","Selenothrips_rubrocinctus","Arthropoda","Insecta","Thsysanoptera","Thripidae",NA,NA,NA,NA
"122","Thrips_hawaiiensis","Arthropoda","Insecta","Thsysanoptera","Thripidae",NA,NA,NA,NA
